Table Name,Column Name,Description,Legacy Equivalence,Calculation Logic,Data Type,Domain Category,Source,,
surrender_vs_effort_ml_features,avg_focused_reflection_time,A temporal measurement of time spent in focused reflection or deep work.,prayer_duration,Measurement of recovery potential; ≥ 20.0 min aids transition from Critical back to Stable state.,float,Clinical Events,6,,
surrender_vs_effort_ml_features,burnout_target_label,A binary classification label indicating if a burnout event has occurred.,spiritual_exhaustion_flag,Triggered when state is 'Critical' for ≥ 3 days and latent_balance < 35.0.,integer,Clinical Events,6,,
surrender_vs_effort_ml_features,work_hours,Total hours of deep work or occupational activity per day.,stewardship_hours,Combined with screen time (> 10.0) to trigger Environmental Overload if > 12.0.,float,Encounters,6,,
surrender_vs_effort_ml_features,screen_time,Real-world temporal measurement of daily digital exposure.,worldly_distraction_time,Used in Environmental Overload trigger when > 10.0 hours.,float,Observations,6,,
surrender_vs_effort_ml_features,user_id,Unique identifier for the patient within the system index.,soul_id,Primary key for longitudinal time-series data mapping.,integer,Patient Index,6,,
surrender_vs_effort_ml_features,cox_mean_hazard_score,The resulting hazard ratio or risk score from the Weighted Cox Proportional Hazards Model.,predestination_risk_index,Log-Hazard ratio calculated as the product of standardized features and Random Forest Gini weights.,float,Clinical Events,6,,
fact_encounters_daily.csv,radical_acceptance_score,Ability to accept circumstances outside of one's control (Continuous 0-100).,faith_score,Modeled as statistical random walks using np.random.normal temporal logic anchored to previous states.,Continuous (0-100),Observations / Psychological Ability,7,,
fact_encounters_daily.csv,focused_reflection_time,"Dedicated minutes spent in deep, internal contemplation.",prayer_time,Temporal measurement of deep work/contemplation hours.,Real-world temporal measurement (Minutes),Observations / Internal Contemplation,7,,
fact_encounters_daily.csv,mindfulness_routine,Presence of a daily grounding routine.,spiritual_practice,Binary indicator (0/1).,Binary (0/1),Observations / Grounding Routine,7,,
fact_encounters_daily.csv,cognitive_flexibility_index,Adaptability of mindset when facing external friction (Continuous 0-100).,surrender_consistency,Modeled as statistical random walks; high-velocity drops serve as early-warning signals.,Continuous (0-100),Observations / Mindset Adaptability,7,,
fact_clinical_events.csv,burnout_risk,Probabilistic modeling of burnout as a stochastic emergent outcome.,Deterministic burnout labels,"Binomial distribution (np.random.binomial) where risk = max(0.0, (40 - latent_balance) / 100.0)",Discrete event (Binomial),Clinical Events / Stochastic Emergent Outcomes,7,,
dim_patients,patient_id,Unique identifier for the patient within the clinical system.,legacy_user_id,Primary Key auto-increment or UUID mapping.,INTEGER,Patient Index,8,,
dim_patients,radical_acceptance_score,Clinical metric measuring the patient's capacity for acceptance versus friction.,faith_score,0–100 ordinal scale derived from state machine behavioral inputs.,REAL,Patient Index,8,,
fact_encounters,deep_work_hours,Measurement of focused cognitive effort during clinical or work sessions.,effort_duration,Real-world temporal measurement in hours.,REAL,Encounters,8,,
fact_observations,screen_time,Quantity of digital exposure monitored during the longitudinal study.,distraction_metric,Real-world temporal measurement in minutes/hours.,REAL,Observations,8,,
fact_clinical_events,burnout_event_indicator,Binary marker indicating if a clinical burnout state was reached.,collapse_flag,Boolean (0 or 1) based on hazard threshold crossing.,INTEGER,Clinical Events,8,,
fact_clinical_events,latent_balance_score,The calculated equilibrium between task drive and flexibility.,soul_alignment_score,Stochastic emergent outcome (0-100 ordinal scale).,REAL,Clinical Events,8,,
dim_cohorts,archetype_category,Classification of patients into behavioral profiles for survival analysis.,religious_sect_group,Mapped from Markov Shift Observer transitions.,TEXT,Patient Index,8,,
fact_longitudinal_data,time_to_event,Duration in days until a specific state transition or burnout occurs.,days_until_fallout,Difference between start_date and event_date in days.,INTEGER,Clinical Events,8,,
dim_users,mindfulness_routine,Indicates presence of a secularized daily mindfulness practice.,spiritual_practice,Boolean conversion (0 or 1),INT,Patient Index,9,,
fact_observations_mental,radical_acceptance_score,Secularized clinical metric for psychological acceptance.,faith_score,0-100 ordinal scale,FLOAT,Observations,9,,
fact_observations_mental,focused_reflection_time,Secularized metric for time spent in internal reflection.,prayer_time,Temporal measurement (0-60 minutes),FLOAT,Observations,9,,
dim_users,mindfulness_routine,Secularized indicator of daily mindfulness practice.,spiritual_practice,0 or 1 binary flag,INT,Patient Index,10,,
fact_observations_mental,radical_acceptance_score,Clinical metric for psychological acceptance.,faith_score,Ordinal scale 0-100,FLOAT,Observations,10,,
fact_observations_mental,focused_reflection_time,Time spent in focused reflection/meditation.,prayer_time,Temporal measurement 0-60 minutes,FLOAT,Observations,10,,
dim_concept_dictionary,radical_acceptance_score,Ability to accept circumstances outside of one's control.,faith_score,"0–100 ordinal scale; modeled as a statistical random walk representing the variance, velocity, and acceleration of psychological state.",Continuous variable (Real),Psychological Ability / Observations,11,,
dim_concept_dictionary,focused_reflection_time,"Minutes spent in deep, internal contemplation.",prayer_time,Real-world temporal measurement (minutes/hours) tracking the velocity of decay.,Continuous variable (Real),Internal Contemplation / Observations,11,,
dim_concept_dictionary,mindfulness_routine,Presence of a daily grounding routine.,spiritual_practice,Binary flag (0 or 1) indicating existence of routine.,Binary,Grounding Routine / Observations,11,,
dim_concept_dictionary,cognitive_flexibility_index,Adaptability of mindset when facing external friction.,surrender_consistency,0–100 continuous variable; serves as a precursor to quantify psychological mechanism against friction.,Continuous variable (Real),Mindset Adaptability / Observations,11,,
fact_clinical_events,burnout_event,The occurrence of a terminal burnout state.,Deterministic burnout label,"Stochastic Emergent Outcome modeled via Binomial distribution: np.random.binomial(1, burnout_risk).",Binomial / Event,Clinical Events,11,,
dim_patients,patient_id,Unique identifier for the patient in the refactored HL7 schema.,users.user_id,Direct mapping from primary key.,INT,Patient Index,12,,
fact_encounters_daily,radical_acceptance_score,Secularized clinical metric measuring the level of psychological acceptance.,surrender_profile.faith_score,Recalibration of faith_score to secular 0–100 ordinal scale.,FLOAT,Clinical Events,12,,
fact_encounters_daily,deep_work_hours,"Total duration of intense, focused cognitive activity.",daily_activity_logs.deep_work_hours,Real-world temporal measurement (hours).,FLOAT,Observations,12,,
fact_encounters_daily,screen_time,Total duration of digital screen usage.,daily_activity_logs.screen_time,Real-world temporal measurement (hours).,FLOAT,Observations,12,,
fact_outcomes,latent_balance_score,Derived mathematical formula measuring the equilibrium between effort and acceptance.,performance_outcome.balance_index,100 - ABS(effort_intensity - radical_acceptance_score),FLOAT,Encounters,12,,
fact_outcomes,success_label,Binary indicator of goal achievement or outcome threshold.,performance_outcome.success_label,1 if success_score >= 65 else 0,INT,Encounters,12,,
fact_encounters_daily,burnout_index,Ordinal scale measuring clinical fatigue and exhaustion levels.,effort_profile.burnout_index,Stochastic emergent outcome (0-100 scale).,FLOAT,Clinical Events,12,,
dim_patients,personality_type,Categorical classification of patient behavioral traits.,users.personality_type,Direct mapping of VARCHAR category.,VARCHAR(10),Patient Index,12,,
fact_encounters_daily,impact_score,Numerical impact of life events on the patient's state.,life_events.impact_score,Real-world ordinal scale (-100 to 100).,FLOAT,Clinical Events,12,,
fact_encounters_daily,stress_level,Snapshot of physiological or psychological stress.,mental_state.stress_level,0-100 ordinal scale.,FLOAT,Observations,12,,
dim_behavioral_archetype,radical_acceptance_score,Secularized clinical metric representing the degree of psychological acceptance of current circumstances.,faith_score,0–100 ordinal scale derived from behavioral observation events.,INTEGER,Observations,13,,
dim_behavioral_archetype,latent_balance_score,A calculated score representing the equilibrium between opposing behavioral states.,religious_balance_index,Mathematical formula for stochastic emergent outcomes (0–100 scale).,FLOAT,Observations,13,,
fct_clinical_events,deep_work_hours,Temporal measurement of focused cognitive activity.,prayer_duration,Real-world temporal measurement (hours).,FLOAT,Clinical Events,13,,
fct_clinical_events,screen_time,Temporal measurement of digital device usage.,secular_distraction_time,Real-world temporal measurement (hours/minutes).,FLOAT,Clinical Events,13,,
dim_patient_index,patient_id,Unique identifier for the patient within the HL7/Star Schema.,subject_id,Primary key; unique constraint.,UUID,Patient Index,13,,
fct_encounters,encounter_type,Classification of the clinical interaction or behavioral session.,session_category,Lookup from DimConceptDictionary.,STRING,Encounters,13,,
markov_state_transitions,transition_probability,The likelihood of moving from one behavioral state to another.,fate_shift_probability,3x3 Markov state transition model calculation.,FLOAT,Clinical Events,13,,
dim_users,baseline_discipline,Standardized baseline measure of patient cognitive discipline and drive.,faith_score,"clip(N(65, 15^2), 20.0, 95.0)",Float (Ordinal 0-100),Patient Index,14,,
dim_users,baseline_flexibility,Standardized baseline measure of psychological openness and adaptability.,docility_index,"clip(N(60, 18^2), 15.0, 95.0)",Float (Ordinal 0-100),Patient Index,14,,
dim_users,age,Age of the patient at the time of system entry.,age_years,"Uniform(22, 64)",Integer,Patient Index,14,,
dim_users,gender,Categorical gender identification of the patient.,sex_id,"Categorical: Male (48%), Female (48%), Non-Binary (4%)",String,Patient Index,14,,
dim_users,mindfulness_routine,Binary indicator of whether the patient engages in regular mindfulness practices.,prayer_frequency,"P(1) = 0.45, P(0) = 0.55",Boolean,Patient Index,14,,
dim_users,archetype_id,Classification ID based on interaction between discipline and flexibility traits.,personality_type_code,1: disc>=65/flex<50; 2: disc>=60/flex>=60; 3: disc<50/flex>=65; 4: others,Integer,Patient Index,14,,
fact_encounters_daily,work_hours,Daily volume of professional or cognitive labor.,labor_units,"clip(6.0 + baseline_discipline/20.0 + N(0, 1.2^2), 2.0, 14.0)",Float (Hours),Encounters,14,,
fact_encounters_daily,screen_time,Daily digital interaction duration.,idle_time,"clip(N(4.0, 1.5^2), 1.0, 12.0)",Float (Hours),Encounters,14,,
fact_observations_mental,focus_score,Daily cognitive stamina and concentration metric.,piety_score,"clip(baseline_discipline + N(0, 4.5^2), 5.0, 98.0)",Float (0-100),Observations,14,,
fact_observations_mental,radical_acceptance_score,Daily psychological openness and acceptance of reality.,devotion_score,"clip(baseline_flexibility + N(0, 5.0^2), 5.0, 98.0)",Float (0-100),Observations,14,,
fact_observations_mental,stress_level,Daily inverse metric of focus and cognitive friction.,temptation_index,"clip(100.0 - focus_score + N(0, 3.0^2), 0.0, 100.0)",Float (0-100),Observations,14,,
fact_observations_mental,focused_reflection_time,Daily minutes spent in grounded cognitive reflection.,meditation_mins,radical_acceptance_score * 0.45,Float (Minutes),Observations,14,,
fact_observations_mental,mean_latent_balance,Calculated equilibrium between exertion (focus) and acceptance.,soul_harmony_score,100.0 - \,focus_score - radical_acceptance_score\,,Float (0-100),Clinical Events,14
fact_observations_mental,current_state,Clinical Markov state based on latent balance score.,grace_status,Stable: >=60; At-Risk: 40-60; Critical: <40,String,Clinical Events,14,,
fact_observations_mental,days_in_previous_state,Counter of consecutive days in a state before transition.,tenure_in_condition,Incremental counter tracking state stability,Integer,Clinical Events,14,,
clinical_star_schema,mean_latent_balance,A secularized clinical metric representing the mathematical formula for latent balance.,faith_score,0–100 ordinal scale weighted by Random Forest Gini importance (X * w_j).,Float,Observations,15,,
clinical_star_schema,baseline_flexibility,A secularized clinical metric representing psychological flexibility.,radical_acceptance_score,0–100 ordinal scale weighted by Random Forest Gini importance (X * w_j).,Float,Patient Index,15,,
dim_patient,radical_acceptance_score,A secularized clinical metric measuring cognitive flexibility and the ability to accept reality without judgment to reduce psychological friction.,faith_score,0–100 ordinal scale derived from flexibility_std (Standardized Cognitive Flexibility) normalized to patient baseline.,"NUMERIC(5,2)",Patient Index,16,,
fact_observations,deep_work_hours,"Total duration of uninterrupted, high-concentration cognitive effort recorded in a single day.",prayer_time,Real-world temporal measurement (hours) tracking focused task execution against discipline_std.,FLOAT,Observations,16,,
fact_encounters,screen_time,"Daily aggregate of time spent on digital devices, used as a proxy for cognitive exertion and potential stress friction.",secular_distraction_minutes,Real-world temporal measurement (hours/minutes) recorded via device telemetry.,FLOAT,Encounters,16,,
fact_clinical_events,burnout_event_hazard,Stochastic emergent outcome representing the daily probability of a burnout event based on Cox Proportional Hazards.,spiritual_crisis_indicator,e^(β) where β is the sum of (0.4434 * discipline_std) + (-0.9133 * flexibility_std).,DOUBLE,Clinical Events,16,,
dim_archetypes,latent_balance_score,A mathematical formula representing the equilibrium between task drive and cognitive stamina.,state_of_grace_index,Ordinal 0-100 scale mapping patient position within the 'Balanced Resilient' vs 'High-Drive / Low-Flexibility' Markov states.,INTEGER,Patient Index,16,,
fact_observations_mental,radical_acceptance_score,Ability to accept circumstances outside of control (0-100).,faith_score,0-100 ordinal scale based on psychological ability,Integer (0-100),Psychological Ability,17,,
fact_observations_mental,focused_reflection_time,"Minutes spent in deep, internal contemplation.",prayer_time,Real-world temporal measurement in minutes,Float,Internal Contemplation,17,,
fact_observations_mental,mindfulness_routine,Presence of a daily grounding routine (Binary 0/1).,spiritual_practice,Binary 0 or 1 indicator,Boolean/Integer,Grounding Routine,17,,
fact_observations_mental,cognitive_flexibility_index,Adaptability of mindset when facing external friction (0-100).,surrender_consistency,0-100 ordinal scale based on mindset adaptability,Integer (0-100),Mindset Adaptability,17,,
fact_encounters_daily,work_hours,Tracked daily work hours for longitudinal depth.,Flat File A/B/C/D (Static snapshots),Daily temporal measurement (deep work hours),Float,Encounters,17,,
fact_encounters_daily,stress_levels,Daily stress scores linked 1:1 per encounter.,Hub (Fixed Outcomes),0-100 ordinal scale,Integer (0-100),Encounters,17,,
fact_encounters_daily,focus_scores,Daily focus scores tracked per encounter.,Hub (Fixed Outcomes),0-100 ordinal scale,Integer (0-100),Encounters,17,,
DimUser,userId,Unique identifier for a user in the system.,Legacy_User_ID,Primary Key assignment,int,Patient Index,18,,
DimUser,mindfulnessRoutine,Frequency or intensity of mindfulness practices.,prayer_frequency,Standardized 0–100 scale based on activity logs,int,Patient Index,18,,
DimUser,baselineDiscipline,Measures consistent adherence to routines.,piety_score,Moving average of task completion rates,float,Patient Index,18,,
FactEncountersDaily,workHours,Measurement of deep work hours performed daily.,vocation_time,Sum of logged professional activity durations,float,Encounters,18,,
FactEncountersDaily,screenTime,Total duration of digital device usage.,secular_distraction_time,Real-world temporal measurement in hours,float,Encounters,18,,
FactObservationsMental,radicalAcceptanceScore,Clinical metric for psychological flexibility and acceptance.,faith_score,Ordinal scale 0–100 derived from observation surveys,float,Observations,18,,
FactObservationsMental,focusScore,Metric representing the ability to maintain cognitive attention.,devotion_index,Latent balance score calculated via stochastic emergent outcomes,float,Observations,18,,
FactStateTransitions,daysInPreviousState,Duration spent in a specific behavioral or clinical state.,days_since_confession,Temporal difference between current and previous state timestamps,int,Clinical Events,18,,
FactClinicalEvents,severityScore,Clinical assessment of the intensity of an event.,sin_magnitude,Standardized 0–100 clinical assessment,float,Clinical Events,18,,
BEHAVIORAL_METRICS,radical_acceptance_score,Ability to accept circumstances without judgment.,faith_score,0-100 ordinal scale based on psychological decay modeling,Integer (0-100),Observations,19,,
BEHAVIORAL_METRICS,focused_reflection_time,Minutes spent in deep contemplation.,prayer_time,Continuous variable modeling in minutes,Real Number,Observations,19,,
BEHAVIORAL_METRICS,mindfulness_routine,Presence of daily grounding routine.,spiritual_practice,Stochastic emergent outcomes tracking,Boolean/Integer,Observations,19,,
BEHAVIORAL_METRICS,cognitive_flexibility_index,Adaptability of mindset to changing environments.,surrender_consistency,Latent balance score derivation,Integer (0-100),Observations,19,,
FACT_TABLES,burnout_event,Clinical event modeled as a probabilistic event.,BURNOUT (Hardcoded Formula),Survival Analysis & Time-to-Event (TTE) modeling,Event/Boolean,Clinical Events,19,,
TIME_DIMENSION,days_in_previous_state,Measuring state inertia within Markov modeling.,Static Snapshots,Temporal stability during environmental shocks,Interval,Encounters,19,,
dim_patient,acceptance_score,Measure of a patient's cognitive and psychological flexibility to accept current experiences without judgment.,faith_score,Ordinal scale (0-100) mapped from legacy religious adherence metrics and current psychological flexibility assessments.,int,Patient Index,20,,
fact_observations,burnout_state,The clinical burnout status based on daily Markov transition analysis.,spiritual_fatigue_level,"Categorical: Stable, At-Risk, or Critical based on stochastic transition probabilities.",string,Observations,20,,
fact_observations,survival_probability,Kaplan-Meier estimate of the probability of remaining burnout-free over a specific time horizon.,divine_protection_index,S(t) = Product from ti <= t of (1 - di/ni); results in 0.0-1.0 or 0-100 scale.,float,Observations,20,,
dim_archetypes,recovery_rate,The daily velocity at which a subject moves from an At-Risk state back to a Stable state.,repentance_velocity,Daily transition probability (P_at-risk_to_stable) expressed as a percentage.,float,Clinical Events,20,,
fact_observations,deep_work_hours,Total hours spent in high-concentration task exertion without distraction.,meditation_hours,Real-world temporal measurement (hours per day).,float,Observations,20,,
fact_encounters,slip_rate,The daily probability of deteriorating from a Stable state to an At-Risk state.,temptation_frequency,Daily transition probability (P_stable_to_at-risk) expressed as a percentage.,float,Encounters,20,,
fact_observations,screen_time,Daily measurement of digital interface exposure.,secular_distraction_time,Real-world temporal measurement in hours or minutes.,float,Observations,20,,
dim_patient,task_drive,Baseline propensity for high task workload and exertion.,zeal_rating,0-100 ordinal scale based on behavioral archetype assessment.,int,Patient Index,20,,
fact_encounters_daily,radical_acceptance_score,"A secularized clinical metric representing patient acceptance, replacing religious faith indicators.",faith_score,0–100 ordinal scale derived from patient encounter questionnaires.,Numeric (0-100),Observations,User Description,,
fact_state_transitions,latent_balance_score,Clinical metric for psychological equilibrium.,faith_score,Latent variable; Critical if < 40,FLOAT (0-100),Encounters,21,,
fact_observations_mental,radical_acceptance_score,Secularized clinical metric measuring acceptance of current state.,faith_score,Ordinal scale 0-100,FLOAT (0-100),Observations,21,,
dim_patient_index,patient_id,Unique identifier for the patient within the HL7/Star Schema architecture.,user_id,Primary Key / Natural Key mapping,UUID,Patient Index,22,,
fact_observations_mental,radical_acceptance_score,A secularized clinical metric measuring cognitive acceptance of reality without judgment.,faith_score,Ordinal scale measurement (0-100) based on clinical observation,Float (0.0-100.0),Observations,22,,
fact_observations_mental,stress_level,Continuous variable representing the intensity of physiological and psychological stress.,anxiety_index,Ordinal scale measurement (0-100),Float (0.0-100.0),Observations,22,,
fact_observations_mental,latent_balance,A calculated latent equilibrium score representing psychological homeostasis.,soul_balance_score,100.0 - \,focus_score - radical_acceptance_score\,,Float (0.0-100.0),Observations,22
fact_observations_mental,focus_score,Metric representing the level of directed attention and cognitive engagement.,devotion_index,Real-world measurement of deep work hours or task concentration,Float (0.0-100.0),Observations,22,,
fact_observations_mental,cognitive_flexibility_index,Indicator of the ability to adapt thinking and behavior between changing concepts.,humility_score,Ordinal scale measurement (0-100),Float (0.0-100.0),Observations,22,,
fact_clinical_events,event_type,Categorization of external environmental shocks used for causal inference.,tribulation_type,"Lookup: Job Loss, Divorce, Bereavement, Relocation, Financial Shock",Varchar,Clinical Events,22,,
fact_clinical_events,severity_score,Quantification of the magnitude of an environmental disruption.,trial_severity,Measurement range typically between 7.0 and 10.0,Float,Clinical Events,22,,
fact_clinical_events,burnout_event,A stochastic emergent outcome representing terminal psychological exhaustion.,spiritual_crisis,Binomial probability of occurrence based on Markov state transition (Critical state < 40.0 balance),Boolean,Clinical Events,22,,
fact_observations_mental,markov_state,The current stability state of the patient based on latent balance thresholds.,salvation_status,"Stable (>=60.0), At-Risk (40.0-59.9), Critical (<40.0)",Varchar,Observations,22,,
fact_state_transitions,user_id,Unique identifier for the patient within the clinical system.,patient_id (Inferred),Primary Key link from User Profile,Integer / UUID,Patient Index,23,,
fact_state_transitions,previous_state,The Markov state the patient occupied prior to the current transition.,old_status (Inferred),Lagged value of daily_state,String / Enum,Encounters,23,,
fact_state_transitions,new_state,"The current Markov state the patient has entered (Stable, At-Risk, or Critical).",new_status (Inferred),Evaluated based on latent_balance threshold boundaries,String / Enum,Encounters,23,,
fact_state_transitions,transition_date,The date when the patient moved from the previous state to the new state.,change_timestamp (Inferred),Date of first occurrence where daily_state != current_clinical_state,Date,Clinical Events,23,,
fact_state_transitions,days_in_previous_state,Duration counter capturing consecutive days spent in the prior state before shifting.,duration_in_status (Inferred),Cumulative sum of days where daily_state == previous_state,Integer,Clinical Events,23,,
dim_patient_metrics,focus_score,Clinical metric measuring cognitive focus or deep work hours on a 0-100 scale.,attention_pct (Inferred),Direct measurement from screen time or clinical observation,Decimal,Observations,23,,
dim_patient_metrics,radical_acceptance_score,Secularized clinical metric for emotional regulation and acceptance.,faith_score,Direct measurement (0-100 scale),Decimal,Observations,23,,
fact_state_transitions,latent_balance,A continuous score representing the daily equilibrium of the patient.,spiritual_balance (Inferred),100.0 - \,focus_score - radical_acceptance_score\,,Decimal,Observations,23
fact_clinical_events,event_type,A sparse entry logging the occurrence of a clinical event such as burnout.,burnout_flag,"np.random.binomial(1, burnout_risk) based on binomial event sampling.",Integer (0 or 1),Clinical Events,24,,
dim_patient_state,latent_balance,A hidden equilibrium score representing internal risk rather than a final label.,faith_score,100 - \,effort - radical_acceptance_score\,,Float (0-100),Observations,24
dim_users,user_id,Unique identifier for the participant. Primary key for the dimension table.,users.user_id,Direct identifier mapping,INTEGER,Patient Index,25,,
dim_users,radical_acceptance_score,A secular metric measuring the degree of acceptance of current reality without judgment.,faith_score,Statistical mapping of religious surrender to psychological acceptance (0-100 scale),FLOAT,Observations,25,,
dim_environment,environment_score,Metric evaluating external factors influencing individual performance and state.,environment_factors.csv,Ordinal scale 0-100,INTEGER,Encounters,25,,
dim_mental_state,life_satisfaction,Longitudinal time-series metric tracking subjective well-being.,mental_state.csv,Ordinal scale 0-100,INTEGER,Observations,25,,
fact_state_transitions,transition_id,Captures Markov state transitions between behavioral or mental states.,Not in source,Recorded if previous_state != new_state.,Integer,Flow Tables,1,,
dim_concept_dictionary,concept_name,Standardized clinical definitions for metrics.,Not in source,Hardcoded list,string,Metadata,2,,
fact_encounters_daily,work_hours,Daily measurements of work intensity.,Not in source,"round(np.random.normal(daily_effortday / 10, 2).clip(0, 16), 1)",float,Encounters,2,,
fact_encounters_daily,screen_time,Real-world temporal measurement of device usage.,Not in source,"round(np.random.normal(6, 2).clip(0, 16), 1)",float,Encounters,2,,
fact_state_transitions,new_state,"Tracks shifts between Stable, At-Risk, and Critical states.",Not in source,Based on latent_balance (100 - abs(effort - surrender)),string,Markov State Transition,2,,
users,latent_personality_traits,Metadata regarding the inherent behavioral characteristics of the individual.,Not in source,Inferred through stochastic seed generation,string,Patient Index,3,,
