user_id,name,age,gender,country,profession,education_level,marital_status,income_level,health_score,sleep_hours,diet_quality,physical_activity,spiritual_practice,personality_type,introversion_score,discipline_score,risk_tolerance,life_satisfaction,created_at
13,User_000013,76,Female,Turkey,Doctor,Bachelor,Single,36660.31,96.0,6.7,61.2,69.9,72.3,ENTJ,32.0,29.5,9.6,71.3,2024-07-14
14,User_000014,44,Male,India,Freelancer,PhD,Married,75190.82,94.1,7.2,54.4,58.0,59.0,ISFJ,46.4,73.1,37.2,100.0,2024-01-31
15,User_000015,39,Male,Egypt,Engineer,Bachelor,Divorced,40750.46,100.0,8.9,69.6,65.3,34.7,ESTJ,68.7,33.4,32.0,75.4,2025-06-01
16,User_000016,49,Male,India,Unemployed,Secondary,Married,41171.45,100.0,4.8,72.6,42.0,49.5,INTP,54.4,57.7,68.5,72.5,2024-07-23
17,User_000017,39,Female,Indonesia,Sales,Bachelor,Married,93475.09,100.0,7.9,59.7,54.4,36.8,INTJ,75.8,77.1,72.4,75.0,2024-11-29
18,User_000018,43,Female,India,Student,Primary,Single,27598.11,100.0,7.1,62.8,72.3,26.8,ESFP,28.4,57.9,64.5,68.8,2025-04-17
19,User_000019,47,Female,Germany,Writer,Primary,Married,28160.93,99.4,6.5,84.0,40.9,51.7,INTP,71.2,75.5,57.7,62.0,2024-03-23
20,User_000020,33,Female,India,Retired,Bachelor,Single,65985.21,98.6,7.6,54.5,37.4,38.7,ENFP,72.7,60.6,48.6,83.1,2025-04-29
21,User_000021,61,Male,South Korea,Engineer,Secondary,Single,63249.05,85.8,7.1,74.5,72.4,15.6,ENTJ,42.0,57.8,35.9,85.5,2024-10-20
22,User_000022,32,Female,Bangladesh,Government,Secondary,Married,23887.53,100.0,5.9,76.4,30.2,14.2,INTP,73.5,52.6,40.7,95.8,2024-02-08
23,User_000023,31,Male,India,Teacher,Secondary,Divorced,23551.52,97.2,7.7,84.0,35.3,48.5,ESTP,50.8,59.4,52.3,86.6,2024-09-30
24,User_000024,50,Male,India,Teacher,Bachelor,Married,55544.15,96.8,6.2,89.7,57.5,38.0,ESTJ,50.8,46.4,73.1,80.1,2024-09-28
25,User_000025,60,Female,Turkey,Unemployed,Bachelor,Single,25618.54,100.0,7.1,79.2,41.1,10.6,ESTJ,54.9,62.6,18.5,63.4,2025-07-10
26,User_000026,50,Female,Spain,Artist,Higher Secondary,Single,94131.51,99.7,5.9,84.9,62.7,60.3,INTJ,45.5,57.2,18.7,84.5,2024-09-02
27,User_000027,45,Male,USA,Student,No formal,Married,29659.53,100.0,10.2,60.5,67.7,16.8,INFJ,15.6,67.4,36.6,84.6,2025-09-05
28,User_000028,42,Male,Japan,Teacher,No formal,Single,17632.42,100.0,5.0,70.2,62.8,58.5,INTP,63.8,62.3,16.2,71.1,2025-06-22
29,User_000029,40,Female,Philippines,Freelancer,Bachelor,Single,68618.23,100.0,5.0,78.2,40.8,33.5,ENTJ,36.0,60.9,50.8,86.3,2024-08-10
30,User_000030,66,Female,Ireland,Engineer,PhD,Married,84486.15,100.0,6.6,85.2,51.5,19.3,ISFP,41.9,77.4,32.7,75.8,2024-07-17
31,User_000031,52,Female,South Africa,Doctor,Secondary,Widowed,23309.71,88.9,7.8,65.7,88.7,19.3,ENTJ,47.9,90.4,16.8,82.5,2025-03-27
32,User_000032,41,Male,Thailand,Manager,Higher Secondary,Widowed,20240.42,98.0,7.6,68.5,52.3,63.6,ESTP,56.2,53.2,58.2,76.4,2025-08-02
33,User_000033,38,Male,Nigeria,Unemployed,Master,Married,104491.37,100.0,8.6,70.0,27.2,58.2,ISFJ,65.1,59.5,36.8,86.5,2024-07-14
34,User_000034,57,Male,Canada,Manager,Bachelor,Married,55947.22,88.5,7.2,71.4,69.4,59.1,INFP,39.8,44.7,28.8,79.9,2024-01-20
35,User_000035,66,Female,USA,Teacher,Secondary,Divorced,95003.88,97.4,8.1,52.9,7.1,59.4,ISTP,69.9,46.7,53.5,86.1,2025-07-29
36,User_000036,64,Male,Chile,Retired,Primary,Married,13490.1,88.8,7.6,74.1,0.0,71.5,ENTP,54.0,43.2,43.8,96.0,2025-04-27
37,User_000037,36,Female,UK,Teacher,No formal,Married,41695.46,100.0,7.9,54.7,53.8,38.7,INTP,53.4,62.1,47.4,80.5,2025-10-12
38,User_000038,42,Male,China,Service,Secondary,Single,22652.21,89.4,7.5,69.3,36.0,58.7,ESFJ,21.4,34.6,17.5,66.2,2024-05-24
39,User_000039,40,Female,USA,Farmer,Master,Married,34391.22,94.0,9.9,50.9,41.2,22.5,ESFJ,40.8,54.5,23.0,76.0,2025-08-12
40,User_000040,44,Female,Germany,Government,Master,Divorced,61734.32,93.8,8.8,50.2,47.1,30.7,ISTJ,50.8,38.0,26.7,75.3,2025-09-28
41,User_000041,61,Male,USA,IT Professional,Master,Married,394209.08,92.2,5.2,47.1,34.0,59.1,ENTP,73.0,39.8,40.2,83.7,2024-11-28
42,User_000042,73,Male,South Africa,Business Owner,Bachelor,Single,34117.82,87.4,6.5,73.3,44.9,38.3,INTJ,70.0,54.7,37.4,77.7,2024-10-18
43,User_000043,53,Female,UK,Retired,Secondary,Single,56201.0,95.3,9.3,58.1,46.6,38.5,INFJ,53.6,39.7,19.6,72.7,2025-11-11
44,User_000044,38,Female,Turkey,Writer,No formal,Single,16973.11,100.0,8.1,60.6,30.7,14.8,ESTP,34.3,75.5,47.2,87.1,2024-05-28
45,User_000045,46,Female,China,Freelancer,Secondary,Single,63830.9,93.4,9.9,61.8,55.7,46.2,ESFJ,47.2,53.3,40.8,73.8,2024-02-10
46,User_000046,78,Female,Argentina,Writer,Bachelor,Married,45927.66,96.9,6.1,80.0,29.5,38.7,INTJ,70.8,68.1,35.5,90.2,2025-03-29
47,User_000047,48,Male,Nigeria,IT Professional,Master,Married,92582.92,99.2,7.1,56.5,83.6,46.3,ISTP,52.6,82.8,41.6,84.4,2024-03-16
48,User_000048,42,Male,Kenya,Homemaker,Primary,Married,48717.49,100.0,9.8,68.8,61.3,36.0,INTP,27.4,56.2,55.8,82.3,2024-12-25
49,User_000049,44,Male,Russia,Unemployed,Secondary,Married,25258.08,88.4,7.3,74.3,47.8,34.5,INFJ,44.3,36.2,32.4,76.9,2024-01-26
50,User_000050,53,Female,Turkey,Artist,Master,Married,128188.51,73.8,8.1,35.9,30.9,34.0,ISTP,33.8,35.2,63.5,68.1,2025-11-20
51,User_000051,36,Female,Mexico,Unemployed,Bachelor,Married,140769.61,100.0,7.1,67.3,53.5,78.6,ESFP,64.2,69.6,46.5,80.4,2025-06-08
52,User_000052,40,Female,China,Nurse,Secondary,Single,86232.32,91.0,6.8,73.1,39.4,76.1,ESTP,48.9,46.5,27.2,71.5,2024-09-10
53,User_000053,63,Female,Vietnam,Sales,No formal,Single,32626.27,97.9,8.9,40.8,35.4,23.2,INFP,58.3,76.3,18.0,78.2,2025-04-25
54,User_000054,52,Female,India,Business Owner,Master,Married,77714.62,94.9,6.3,65.8,42.3,45.4,ISFP,72.9,62.6,28.4,77.0,2024-06-28
55,User_000055,48,Male,China,IT Professional,Higher Secondary,Widowed,76144.55,98.5,8.3,58.5,71.1,68.9,INFJ,90.1,63.0,57.0,82.4,2024-11-02
56,User_000056,64,Female,India,Service,Higher Secondary,Married,45553.19,96.0,8.9,65.6,42.1,13.7,ENFJ,48.7,46.7,46.4,76.6,2025-06-18
57,User_000057,37,Male,Italy,Nurse,Bachelor,Married,12502.09,95.9,6.8,61.2,43.3,68.3,ESTP,46.3,69.2,37.7,84.7,2024-06-06
58,User_000058,42,Female,Brazil,Business Owner,PhD,Married,61188.91,100.0,9.3,69.9,88.4,56.8,ENFP,35.5,81.7,23.6,87.6,2025-10-10
59,User_000059,52,Female,Bangladesh,Freelancer,Bachelor,Married,69473.97,96.1,7.3,62.6,52.3,63.4,INTJ,41.7,32.3,33.9,87.7,2025-12-04
60,User_000060,51,Female,Mexico,Researcher,Higher Secondary,Married,64966.4,100.0,6.6,71.1,38.2,33.5,INFP,38.3,74.0,20.9,71.9,2024-07-23
61,User_000061,30,Female,Chile,IT Professional,Primary,Married,13744.01,100.0,8.0,75.3,35.6,78.7,ESTP,66.8,71.0,36.6,77.8,2025-01-09
62,User_000062,41,Female,India,Manager,Bachelor,Single,42504.61,84.7,7.3,90.9,48.8,38.3,ESFP,26.9,17.0,57.7,78.2,2025-05-27
63,User_000063,44,Male,China,Retired,No formal,Single,39765.67,95.9,6.4,61.2,87.6,80.5,ENFP,38.3,53.0,28.1,85.3,2024-09-19
64,User_000064,53,Male,China,Business Owner,Primary,Widowed,13996.98,92.5,7.1,60.9,65.2,60.1,ISFP,51.7,37.8,33.8,74.0,2025-05-12
65,User_000065,51,Female,Germany,Service,No formal,Single,31380.4,97.9,8.7,74.3,54.0,79.7,ESFJ,51.9,61.1,55.8,75.7,2024-01-06
66,User_000066,46,Male,China,Artist,Higher Secondary,Married,24403.56,97.9,7.8,63.9,51.8,73.3,ISTJ,44.5,61.5,61.5,84.7,2025-11-22
67,User_000067,26,Male,Pakistan,Engineer,Higher Secondary,Single,50506.38,100.0,7.6,67.2,81.2,60.7,ISFP,55.1,51.1,58.6,75.9,2025-02-07
68,User_000068,46,Male,China,Service,Master,Divorced,49123.48,96.1,6.8,67.4,88.9,29.2,INFJ,26.1,86.1,28.5,75.6,2025-12-23
69,User_000069,48,Male,Italy,Freelancer,Secondary,Married,74975.14,93.5,8.7,71.3,55.1,41.1,ISTP,29.3,61.2,18.2,58.4,2024-05-25
70,User_000070,85,Male,China,Government,Higher Secondary,Married,83395.3,88.4,5.5,58.5,4.4,17.7,ISTJ,58.8,50.5,33.3,68.8,2024-07-29
71,User_000071,44,Male,China,Farmer,Higher Secondary,Married,114808.45,96.1,6.9,73.8,16.5,46.4,ESFJ,32.9,75.6,59.9,78.5,2025-11-18
72,User_000072,52,Male,India,Farmer,Primary,Single,37883.56,96.5,6.4,65.6,18.9,22.6,INFP,40.1,24.5,64.3,75.3,2024-07-07
73,User_000073,68,Female,China,Student,Master,Single,60674.18,91.3,6.8,44.0,61.9,1.6,ISFP,43.0,68.4,25.5,71.3,2025-03-20
74,User_000074,60,Female,India,Freelancer,Primary,Single,23575.82,97.6,8.2,82.2,17.4,66.4,ISFJ,50.1,44.3,32.4,80.6,2024-05-22
75,User_000075,74,Male,China,Business Owner,Secondary,Married,32535.96,88.7,5.7,71.9,31.6,48.3,ESTP,74.7,80.9,41.4,77.4,2024-05-28
76,User_000076,30,Male,China,Homemaker,Higher Secondary,Single,33031.37,100.0,5.0,75.1,54.2,81.1,ESTJ,37.2,59.6,25.9,74.5,2025-07-04
77,User_000077,34,Female,Nigeria,Engineer,Bachelor,Single,37536.12,100.0,7.7,76.6,50.8,22.4,ENFJ,73.6,73.3,21.2,95.5,2025-09-21
78,User_000078,39,Male,Nepal,Sales,Higher Secondary,Widowed,57352.48,100.0,7.6,70.1,69.0,32.1,ESFJ,63.0,71.4,12.5,85.0,2025-09-27
79,User_000079,29,Male,Pakistan,Nurse,PhD,Married,164237.93,96.0,9.1,72.3,79.7,35.5,ENFP,25.9,49.8,42.4,86.7,2025-12-26
80,User_000080,48,Male,India,Nurse,Higher Secondary,Single,60277.35,85.2,8.5,48.1,75.0,29.5,ISFP,64.2,60.7,49.2,68.9,2024-02-02
81,User_000081,35,Female,Nigeria,Engineer,Bachelor,Single,79697.27,90.1,8.4,45.5,91.4,52.6,ISFP,28.7,57.2,49.4,86.1,2025-09-27
82,User_000082,78,Female,Vietnam,Farmer,Bachelor,Married,59492.87,89.3,5.8,73.2,41.8,67.4,ESFP,59.5,69.8,18.3,92.1,2025-06-28
83,User_000083,36,Male,China,Unemployed,Higher Secondary,Married,54684.7,100.0,7.4,51.1,56.1,21.5,INFP,15.1,59.9,60.7,78.5,2025-06-22
84,User_000084,42,Female,India,Engineer,Secondary,Married,39699.59,100.0,8.5,67.0,57.7,67.0,ISTP,49.0,46.0,54.2,92.3,2025-12-20
85,User_000085,61,Male,USA,Artist,Higher Secondary,Widowed,25389.95,85.0,8.8,43.4,8.5,50.4,ISFJ,55.1,23.0,58.6,72.1,2024-03-24
86,User_000086,32,Female,India,Farmer,Higher Secondary,Single,79023.2,100.0,6.4,64.4,47.5,30.3,ENTP,44.5,71.1,53.6,95.8,2024-07-13
87,User_000087,28,Female,New Zealand,Farmer,Higher Secondary,Married,31266.36,100.0,8.1,74.5,64.2,12.5,ISFJ,43.5,74.9,31.1,89.1,2024-07-30
88,User_000088,50,Male,China,Researcher,Secondary,Single,27688.19,100.0,7.0,72.4,52.2,27.2,INFJ,58.9,39.5,30.7,86.7,2025-11-15
89,User_000089,51,Male,China,Researcher,No formal,Widowed,62355.64,97.6,9.8,79.6,49.7,50.2,ISFJ,51.2,72.5,31.4,91.2,2024-10-31
90,User_000090,61,Female,Egypt,Engineer,Primary,Single,23029.5,100.0,7.3,89.8,50.3,68.4,ESTP,46.4,62.6,31.2,91.4,2025-10-13
91,User_000091,56,Male,Indonesia,Government,Master,Single,19901.48,100.0,9.0,79.5,57.1,32.0,ISFJ,49.4,75.6,31.0,77.5,2025-02-05
92,User_000092,52,Male,Indonesia,Freelancer,Secondary,Married,57094.41,97.5,8.5,51.8,39.4,32.7,ESTP,49.4,56.6,64.0,77.5,2024-08-22
93,User_000093,38,Male,China,Retired,Primary,Single,32464.62,100.0,6.2,59.3,75.4,83.8,ESTP,49.1,42.1,28.3,78.0,2025-04-27
94,User_000094,51,Male,Mexico,Doctor,Bachelor,Single,62976.09,100.0,6.5,57.1,38.7,38.7,INFP,68.4,41.4,60.3,73.0,2024-10-10
95,User_000095,52,Male,Turkey,IT Professional,Master,Single,52943.39,88.3,8.1,48.7,79.5,64.0,INTP,78.5,55.9,41.2,64.4,2024-08-11
96,User_000096,37,Female,China,Sales,Higher Secondary,Married,52715.54,100.0,6.8,64.9,75.5,20.7,ISTP,29.6,63.0,51.2,70.4,2024-12-14
97,User_000097,85,Male,Ethiopia,Artist,Primary,Married,41843.01,88.9,7.7,61.8,13.9,22.7,ESTJ,19.1,58.7,32.9,57.0,2024-08-05
98,User_000098,55,Female,India,Athlete,Higher Secondary,Single,84907.65,96.1,6.5,70.9,63.3,64.2,INTP,39.1,38.5,42.6,72.6,2025-09-30
99,User_000099,34,Male,India,Government,Secondary,Married,48822.67,100.0,7.4,66.6,58.7,19.6,ESFJ,32.8,52.7,34.9,56.8,2024-03-25
100,User_000100,61,Male,Indonesia,Government,Secondary,Single,61568.8,94.5,7.7,45.2,33.5,41.7,INFP,38.8,36.1,32.7,79.9,2025-12-10
101,User_000101,64,Female,Malaysia,Government,Master,Married,67759.65,94.2,7.0,93.5,54.2,38.6,INTJ,39.6,41.6,25.2,76.8,2024-05-11
102,User_000102,54,Male,Brazil,Sales,Higher Secondary,Married,65099.07,94.0,7.8,58.6,52.9,41.8,ISTJ,39.1,76.0,15.9,79.6,2024-11-19
103,User_000103,43,Male,China,Freelancer,Higher Secondary,Single,15584.0,100.0,8.0,76.6,45.8,14.1,ISFP,29.3,76.7,19.1,68.0,2024-03-23
104,User_000104,37,Male,China,Doctor,Primary,Married,51077.14,100.0,8.9,34.1,73.6,42.6,ISFJ,63.6,80.4,37.9,72.6,2024-06-11
105,User_000105,46,Male,Pakistan,Sales,No formal,Single,45414.21,100.0,7.7,36.7,78.8,64.8,ENTJ,39.5,91.5,66.0,91.6,2025-04-01
106,User_000106,52,Male,China,Artist,Bachelor,Single,80033.93,86.4,8.6,67.8,44.6,40.6,ESTJ,66.3,49.8,51.3,68.1,2024-09-13
107,User_000107,47,Male,Germany,Researcher,Primary,Single,38088.27,97.4,6.3,44.9,67.8,30.3,INTP,60.1,42.5,19.1,57.7,2025-05-16
108,User_000108,75,Female,India,Nurse,Secondary,Married,28544.26,80.3,7.2,62.5,57.0,25.9,ESTP,66.9,74.2,25.2,66.3,2024-04-19
109,User_000109,57,Female,Japan,Farmer,PhD,Married,87295.84,100.0,6.1,87.1,46.0,47.1,ISTJ,72.7,75.6,45.7,74.2,2024-04-05
110,User_000110,36,Male,Ukraine,Researcher,Secondary,Single,90302.77,100.0,6.6,63.6,42.9,24.0,ISFP,68.2,67.5,65.3,79.1,2024-09-06
111,User_000111,33,Female,Vietnam,Researcher,Bachelor,Married,73173.14,100.0,6.7,62.8,85.4,46.1,ESTJ,52.6,55.3,26.4,60.1,2025-01-12
112,User_000112,55,Male,India,IT Professional,Primary,Married,40567.6,94.5,6.6,85.6,38.9,25.8,ENTJ,39.9,44.3,72.3,70.9,2025-05-18
113,User_000113,44,Male,China,Retired,Bachelor,Single,20284.72,100.0,8.6,98.4,64.5,61.1,ENTP,30.2,65.0,24.1,83.3,2024-12-02
114,User_000114,59,Female,India,Business Owner,Secondary,Single,49881.64,94.1,6.6,52.1,48.5,42.0,ISFJ,56.5,53.7,51.6,78.7,2024-03-11
115,User_000115,55,Male,China,Nurse,Primary,Married,94754.53,100.0,7.9,69.3,87.6,20.8,INFJ,68.7,63.8,41.9,75.1,2024-07-16
116,User_000116,46,Male,India,IT Professional,Secondary,Single,9529.54,100.0,9.0,68.0,68.9,34.7,ESTP,43.1,67.2,39.9,87.3,2024-12-20
117,User_000117,36,Male,China,Retired,Bachelor,Married,22279.04,90.2,6.5,50.1,56.8,58.6,ENFP,25.1,33.5,51.2,78.1,2024-01-16
118,User_000118,29,Male,Mexico,Athlete,Bachelor,Single,36117.01,94.4,6.4,64.8,50.8,61.3,ENTP,22.1,28.5,38.1,69.6,2025-04-07
119,User_000119,50,Female,India,Sales,Primary,Married,31191.95,100.0,9.2,85.1,74.7,56.1,INFJ,39.4,70.3,21.7,81.2,2025-09-06
120,User_000120,32,Male,Brazil,Nurse,Higher Secondary,Single,37274.56,98.7,8.1,70.2,30.3,41.0,ISTP,21.4,63.3,39.2,77.7,2024-11-25
121,User_000121,35,Male,Sweden,Manager,Bachelor,Married,37506.07,100.0,5.2,69.8,44.3,34.7,ENTJ,37.7,65.3,19.3,92.8,2024-01-09
122,User_000122,49,Male,India,Sales,No formal,Married,43717.97,96.1,9.3,70.8,52.5,41.1,ISTP,68.4,50.7,17.0,62.8,2024-08-18
123,User_000123,48,Male,India,Freelancer,Secondary,Single,29615.7,100.0,6.7,79.1,25.6,46.8,ENFP,51.7,41.0,43.9,90.4,2025-07-05
124,User_000124,33,Female,China,Student,Bachelor,Single,50699.76,95.9,6.9,54.5,88.0,40.7,ESTP,47.8,30.8,40.1,75.7,2024-08-26
125,User_000125,67,Male,China,Doctor,Bachelor,Single,76419.27,95.4,6.6,66.7,63.1,59.5,ENFP,28.1,58.6,21.2,93.0,2025-01-06
126,User_000126,66,Female,India,Farmer,Higher Secondary,Single,46014.79,92.6,5.9,55.7,81.6,27.5,ENFP,36.8,41.3,49.0,59.5,2024-04-24
127,User_000127,55,Non-binary,Bangladesh,Service,Master,Married,84407.12,100.0,8.9,67.9,79.9,37.4,ESFP,21.1,74.2,33.7,81.5,2024-03-28
128,User_000128,55,Male,Japan,Manager,Master,Single,117622.39,84.8,6.1,65.4,74.2,10.8,INFJ,37.8,71.0,39.0,68.5,2025-03-22
129,User_000129,55,Female,South Africa,Artist,Secondary,Married,29070.99,98.0,7.9,79.5,74.5,43.2,ENFJ,43.1,69.3,18.5,80.0,2024-10-05
130,User_000130,85,Male,India,Writer,Bachelor,Married,53978.18,70.0,6.8,44.9,56.4,59.8,ENTP,62.5,55.9,23.1,68.9,2025-03-13
131,User_000131,64,Male,USA,Doctor,Secondary,Single,35189.32,88.2,8.5,57.7,47.1,76.6,INFJ,32.0,69.3,51.3,84.9,2025-12-01
132,User_000132,58,Female,Nigeria,Engineer,Secondary,Married,16730.02,88.9,6.7,89.7,44.4,35.0,INFP,37.3,60.1,66.8,52.5,2025-04-30
133,User_000133,37,Female,Russia,Business Owner,Bachelor,Married,34564.22,100.0,8.0,53.1,52.7,57.8,INTJ,36.2,84.3,29.0,81.6,2024-05-28
134,User_000134,43,Male,USA,Sales,Primary,Single,28443.64,100.0,7.9,83.4,44.8,44.6,ISFP,30.8,44.5,51.8,67.5,2025-10-09
135,User_000135,85,Female,China,Government,Secondary,Single,61781.02,77.5,7.9,61.9,18.7,10.2,ESTJ,79.5,59.6,38.9,61.1,2025-06-23
136,User_000136,27,Female,India,Artist,Primary,Single,25020.34,100.0,5.0,81.1,37.2,22.6,ENTP,72.9,54.4,29.9,76.7,2025-02-15
137,User_000137,40,Male,USA,Sales,Higher Secondary,Married,52890.58,97.5,7.8,61.7,45.4,76.2,INFJ,39.8,30.3,50.3,71.5,2025-11-26
138,User_000138,67,Female,France,Student,Higher Secondary,Single,49548.09,81.2,4.5,61.0,29.1,3.5,ESTP,74.1,65.1,14.3,66.6,2025-02-05
139,User_000139,37,Female,Germany,Athlete,Secondary,Married,15074.88,95.1,5.8,62.4,49.2,59.8,ISFP,76.0,79.9,32.5,81.5,2024-06-14
140,User_000140,59,Male,Indonesia,Sales,Secondary,Single,71879.19,78.8,7.6,69.1,74.6,67.2,ESTJ,27.3,55.0,29.1,74.8,2024-07-28
141,User_000141,48,Male,China,Researcher,Bachelor,Married,52502.57,90.9,6.1,42.5,60.9,86.9,ESFJ,55.7,37.3,27.7,77.8,2024-12-31
142,User_000142,38,Male,India,Teacher,Master,Single,108159.91,100.0,8.5,72.8,51.1,33.8,INTP,44.3,35.0,45.5,75.3,2024-02-14
143,User_000143,25,Female,Indonesia,Service,Master,Single,31934.99,100.0,6.9,78.5,37.1,49.8,INTP,52.2,37.8,70.5,71.8,2024-12-21
144,User_000144,50,Female,Japan,Unemployed,Bachelor,Single,59936.56,100.0,6.7,46.6,62.0,39.2,ENFP,62.5,59.5,40.6,65.3,2025-12-20
145,User_000145,36,Male,China,Engineer,Primary,Married,45778.46,85.3,5.9,66.1,60.1,49.3,ESFJ,48.5,39.6,55.1,70.4,2024-05-10
146,User_000146,45,Male,India,IT Professional,Secondary,Married,71763.89,100.0,8.6,51.2,60.3,42.0,ESTP,71.7,61.4,65.3,88.6,2024-01-12
147,User_000147,55,Female,India,Engineer,Primary,Married,23556.76,93.3,6.7,61.4,51.4,11.3,INTJ,62.1,55.8,48.9,79.3,2024-09-09
148,User_000148,62,Female,China,Business Owner,Bachelor,Single,74182.88,91.1,6.2,52.9,52.3,57.6,INFJ,90.6,54.9,46.8,90.9,2024-01-12
149,User_000149,40,Female,India,Freelancer,Secondary,Widowed,21822.57,89.0,6.5,64.9,73.3,32.9,ESTP,18.0,47.5,30.2,90.6,2025-02-12
150,User_000150,38,Male,India,Homemaker,Bachelor,Married,114574.72,95.0,7.5,86.2,91.5,27.8,INFJ,48.3,41.0,39.4,58.1,2024-09-21
151,User_000151,31,Female,China,Teacher,Master,Single,31565.99,96.2,5.3,86.7,39.8,47.8,ISTJ,42.8,31.4,54.9,65.9,2025-10-20
152,User_000152,63,Female,Sri Lanka,Artist,Bachelor,Single,26489.9,92.3,8.9,74.5,55.8,86.5,ISFP,24.6,31.2,29.7,100.0,2025-11-05
153,User_000153,85,Male,China,Sales,Secondary,Married,49004.26,94.8,6.9,59.0,55.6,83.7,ESTP,52.4,76.6,61.1,85.7,2024-05-20
154,User_000154,66,Female,Vietnam,Athlete,PhD,Widowed,74801.19,88.9,6.1,65.0,36.3,59.5,ESTP,44.6,58.0,69.1,73.8,2025-02-23
155,User_000155,71,Female,China,Retired,Master,Single,56680.05,84.4,9.0,45.4,18.6,62.1,INTJ,34.8,70.4,49.1,81.7,2024-09-15
156,User_000156,37,Female,Saudi Arabia,Artist,Master,Married,42678.72,100.0,5.3,63.0,69.7,36.4,INTP,59.6,51.2,39.0,58.1,2025-12-14
157,User_000157,54,Female,Egypt,Sales,Secondary,Single,34171.26,90.7,6.7,87.4,27.3,64.0,INTP,50.0,59.4,22.7,77.6,2025-06-26
158,User_000158,60,Male,Japan,Doctor,Primary,Married,21317.11,89.1,7.0,92.1,44.9,6.4,ESTJ,44.4,43.4,26.8,70.8,2024-10-06
159,User_000159,20,Female,Colombia,Nurse,Primary,Single,7883.55,100.0,7.8,71.2,69.0,45.4,ESFP,17.6,59.0,54.1,80.5,2025-03-01
160,User_000160,34,Female,Vietnam,Student,Secondary,Divorced,57290.16,100.0,8.6,85.6,55.6,39.9,ENFJ,33.2,56.8,24.8,82.5,2025-05-26
161,User_000161,80,Male,China,Retired,Bachelor,Married,19418.51,87.2,8.1,61.7,38.0,53.9,ENFJ,54.0,75.7,56.0,82.1,2024-10-22
162,User_000162,30,Male,Italy,Freelancer,Bachelor,Married,122976.29,100.0,8.0,99.1,55.8,27.8,ESFP,41.4,59.8,65.7,87.9,2024-02-18
163,User_000163,75,Male,India,Government,Secondary,Single,60469.21,73.5,6.8,68.2,27.8,68.9,INFJ,31.6,52.1,71.2,63.8,2024-02-14
164,User_000164,30,Female,India,IT Professional,No formal,Married,8638.72,98.7,8.4,42.5,70.5,72.4,ESTP,79.7,50.7,23.7,78.1,2025-08-18
165,User_000165,34,Male,India,Doctor,Bachelor,Single,56898.03,91.6,7.8,66.9,25.7,50.5,ESFP,48.4,42.6,34.9,64.1,2025-02-18
166,User_000166,54,Male,Bangladesh,Government,Bachelor,Married,137835.09,82.9,8.1,70.6,29.5,57.5,ISFP,35.6,14.0,16.5,77.3,2024-01-28
167,User_000167,48,Female,Sri Lanka,Unemployed,Primary,Single,51043.66,88.5,8.4,80.2,47.4,12.5,ISFP,43.6,21.0,34.6,62.3,2024-07-19
168,User_000168,41,Male,Pakistan,Business Owner,Higher Secondary,Widowed,26092.48,92.4,6.8,69.2,67.3,33.4,ESTP,74.9,58.0,30.2,74.1,2024-10-11
