pattern_id,user_id,habit_strength,habit_consistency,procrastination_score,discipline_score,addiction_score,distraction_pattern,focus_pattern,stress_pattern,coping_style,decision_style,thinking_style,learning_style,risk_behavior,emotional_pattern,social_pattern,growth_pattern,stability_index,recorded_at
36,36,61.1,46.6,79.8,43.2,64.7,78.1,21.8,61.7,Problem-focused,Conceptual,Lateral,Auditory,29.9,51.6,48.5,63.5,47.1,2025-06-30
37,37,57.4,78.2,51.8,62.1,35.0,60.4,33.7,32.2,Mixed,Conceptual,Systems,Kinesthetic,66.8,43.5,57.3,37.6,56.0,2025-06-30
38,38,34.5,37.2,72.4,34.6,71.0,73.7,22.0,68.9,Social,Directive,Critical,Kinesthetic,11.9,21.3,72.4,37.9,32.9,2025-06-30
39,39,62.3,35.2,41.8,54.5,79.1,68.5,29.7,48.0,Problem-focused,Analytical,Lateral,Visual,41.1,14.7,48.4,35.5,14.0,2025-06-30
40,40,40.9,40.9,81.9,38.0,76.7,51.4,37.3,45.3,Spiritual,Analytical,Creative,Reading/Writing,40.4,25.0,49.6,35.2,36.5,2025-06-30
41,41,28.2,30.5,49.1,39.8,73.9,58.6,31.1,49.1,Problem-focused,Conceptual,Linear,Kinesthetic,49.2,48.0,30.4,30.9,38.0,2025-06-30
42,42,50.4,46.6,52.7,54.7,98.7,75.1,32.1,48.6,Mixed,Analytical,Critical,Visual,19.9,40.6,25.8,47.4,38.6,2025-06-30
43,43,49.1,39.5,39.6,39.7,63.3,75.3,31.3,43.9,Problem-focused,Behavioral,Linear,Multimodal,0.0,34.1,34.6,40.4,32.0,2025-06-30
44,44,92.3,88.1,58.6,75.5,40.4,35.7,42.0,74.9,Social,Behavioral,Critical,Visual,41.2,19.8,31.0,52.8,38.8,2025-06-30
45,45,46.2,56.5,72.1,53.3,64.9,61.8,31.6,61.5,Avoidance,Intuitive,Systems,Reading/Writing,40.2,40.7,57.2,50.1,46.7,2025-06-30
46,46,56.7,74.0,47.9,68.1,67.2,60.9,34.6,40.5,Problem-focused,Intuitive,Critical,Auditory,18.5,69.1,28.6,54.6,73.2,2025-06-30
47,47,97.2,84.6,19.9,82.8,39.8,31.5,57.0,54.4,Avoidance,Behavioral,Linear,Multimodal,41.8,37.6,61.8,42.1,49.9,2025-06-30
48,48,57.5,65.4,62.1,56.2,52.3,65.4,36.7,25.9,Social,Conceptual,Creative,Auditory,55.3,51.1,85.0,54.6,56.5,2025-06-30
49,49,46.7,36.9,55.0,36.2,99.2,74.5,16.5,53.1,Social,Directive,Critical,Auditory,53.2,37.0,55.5,36.1,36.6,2025-06-30
50,50,45.0,28.5,86.7,35.2,84.1,90.7,2.5,34.1,Mixed,Directive,Systems,Reading/Writing,71.3,15.2,72.0,15.1,17.7,2025-06-30
51,51,79.5,63.9,19.1,69.6,61.8,50.7,48.1,0.0,Problem-focused,Analytical,Critical,Visual,46.0,53.2,43.8,65.4,59.8,2025-06-30
52,52,31.8,42.9,63.6,46.5,80.4,70.5,31.3,33.0,Mixed,Intuitive,Critical,Reading/Writing,36.8,11.1,61.3,53.7,27.1,2025-06-30
53,53,72.8,75.2,29.7,76.3,43.4,35.7,63.1,53.9,Social,Intuitive,Creative,Kinesthetic,7.9,27.5,44.1,56.0,45.7,2025-06-30
54,54,64.3,61.2,53.6,62.6,65.2,49.4,44.3,32.6,Emotion-focused,Directive,Linear,Visual,32.7,45.2,2.1,33.6,43.6,2025-06-30
55,55,70.4,48.7,37.2,63.0,70.7,37.7,51.5,31.1,Social,Directive,Systems,Kinesthetic,44.6,85.5,11.2,58.9,67.2,2025-06-30
56,56,46.8,36.5,42.4,46.7,68.3,66.0,29.8,57.8,Problem-focused,Behavioral,Creative,Visual,30.2,12.0,52.3,58.7,18.3,2025-06-30
57,57,64.5,53.5,24.0,69.2,52.4,38.8,39.9,70.0,Problem-focused,Behavioral,Creative,Kinesthetic,63.5,67.9,49.9,68.8,55.4,2025-06-30
58,58,77.7,91.3,19.3,81.7,20.4,43.0,68.7,22.2,Mixed,Behavioral,Systems,Kinesthetic,25.7,68.2,72.5,68.7,77.0,2025-06-30
59,59,42.0,31.2,84.9,32.3,63.3,85.8,28.6,17.3,Problem-focused,Analytical,Linear,Kinesthetic,37.1,52.2,59.4,28.0,52.2,2025-06-30
60,60,64.1,74.1,35.4,74.0,62.3,63.3,37.3,48.5,Problem-focused,Behavioral,Critical,Visual,20.7,42.8,58.0,52.2,47.3,2025-06-30
61,61,62.5,87.9,34.0,71.0,59.7,55.8,44.5,63.4,Problem-focused,Behavioral,Creative,Kinesthetic,36.4,63.0,38.8,69.9,66.4,2025-06-30
62,62,22.4,17.5,95.5,17.0,100.0,100.0,4.6,42.8,Avoidance,Behavioral,Creative,Multimodal,68.1,34.5,61.8,33.7,21.3,2025-06-30
63,63,59.9,48.9,60.6,53.0,80.0,70.3,34.9,48.9,Social,Behavioral,Creative,Auditory,20.5,52.5,67.9,74.0,49.1,2025-06-30
64,64,52.8,38.7,56.8,37.8,81.3,68.5,30.2,29.8,Emotion-focused,Intuitive,Creative,Kinesthetic,36.3,23.2,52.8,29.9,34.1,2025-06-30
65,65,70.2,80.0,47.0,61.1,48.1,56.2,39.6,69.2,Social,Behavioral,Critical,Auditory,55.8,63.0,53.6,56.0,64.8,2025-06-30
66,66,69.2,65.9,47.5,61.5,43.1,60.0,40.6,23.1,Spiritual,Behavioral,Lateral,Reading/Writing,80.7,43.3,57.0,59.3,49.8,2025-06-30
67,67,50.4,52.9,56.6,51.1,73.5,54.8,32.1,75.1,Mixed,Directive,Linear,Kinesthetic,67.2,41.6,56.1,76.4,49.4,2025-06-30
68,68,95.4,69.6,47.5,86.1,54.0,40.9,63.6,49.5,Avoidance,Behavioral,Linear,Reading/Writing,42.7,32.5,74.0,47.2,46.8,2025-06-30
69,69,58.6,61.9,42.4,61.2,55.7,74.9,36.2,89.2,Emotion-focused,Behavioral,Systems,Kinesthetic,34.6,27.5,67.6,48.2,60.0,2025-06-30
70,70,46.6,46.9,31.8,50.5,78.3,61.4,31.9,30.1,Avoidance,Directive,Linear,Auditory,43.4,11.0,46.0,41.8,37.8,2025-06-30
71,71,87.9,85.0,32.1,75.6,49.3,17.0,83.6,60.4,Emotion-focused,Conceptual,Critical,Auditory,48.1,47.0,64.7,74.4,58.0,2025-06-30
72,72,41.7,34.7,67.0,24.5,78.9,100.0,2.3,62.0,Spiritual,Conceptual,Lateral,Multimodal,81.5,17.7,69.6,44.1,27.8,2025-06-30
73,73,57.5,62.0,39.9,68.4,67.4,84.6,27.0,69.6,Social,Analytical,Systems,Reading/Writing,41.2,14.5,55.9,38.2,44.3,2025-06-30
74,74,41.8,31.6,48.2,44.3,67.3,76.2,25.2,43.6,Spiritual,Conceptual,Lateral,Visual,43.0,41.3,54.6,45.2,35.5,2025-06-30
75,75,94.5,70.7,39.6,80.9,38.0,61.4,49.9,35.5,Problem-focused,Directive,Creative,Auditory,50.0,49.7,31.7,55.1,74.0,2025-06-30
76,76,41.9,54.2,35.4,59.6,21.6,46.1,51.9,62.1,Social,Analytical,Critical,Multimodal,30.0,69.0,65.1,56.5,57.1,2025-06-30
77,77,57.8,65.8,33.8,73.3,48.0,42.4,57.4,55.7,Social,Analytical,Critical,Reading/Writing,18.4,29.5,0.9,56.8,32.2,2025-06-30
78,78,61.1,74.2,22.8,71.4,53.9,62.4,39.2,40.6,Mixed,Conceptual,Creative,Auditory,12.2,27.0,18.6,59.1,47.6,2025-06-30
79,79,60.5,42.7,44.0,49.8,100.0,71.3,33.8,29.3,Social,Conceptual,Systems,Kinesthetic,39.1,16.5,72.9,49.0,28.2,2025-06-30
80,80,53.4,61.4,34.0,60.7,60.3,43.1,50.1,69.7,Spiritual,Behavioral,Lateral,Reading/Writing,47.5,40.8,38.6,51.9,46.0,2025-06-30
81,81,51.1,48.3,64.6,57.2,64.9,48.9,42.5,27.9,Problem-focused,Directive,Lateral,Reading/Writing,34.9,38.4,83.8,28.6,42.3,2025-06-30
82,82,71.4,66.7,45.6,69.8,52.1,57.9,40.9,14.4,Problem-focused,Conceptual,Creative,Kinesthetic,25.4,51.1,43.7,49.6,59.8,2025-06-30
83,83,61.2,53.1,24.4,59.9,92.1,14.9,70.1,55.2,Social,Analytical,Systems,Kinesthetic,52.1,41.4,94.3,54.0,43.0,2025-06-30
84,84,44.0,40.2,69.6,46.0,70.1,89.2,12.6,58.9,Problem-focused,Intuitive,Creative,Kinesthetic,52.2,57.5,51.4,56.7,46.6,2025-06-30
85,85,17.8,31.5,78.4,23.0,99.0,78.8,10.4,47.6,Mixed,Directive,Lateral,Visual,62.5,32.7,68.4,29.5,38.7,2025-06-30
86,86,81.2,67.1,53.0,71.1,55.6,61.4,47.4,81.0,Avoidance,Intuitive,Lateral,Multimodal,41.8,18.3,59.6,33.7,30.8,2025-06-30
87,87,76.7,65.1,49.8,74.9,47.6,86.7,31.6,62.4,Problem-focused,Conceptual,Linear,Visual,23.5,45.9,59.5,59.7,43.9,2025-06-30
88,88,36.6,34.0,69.8,39.5,95.1,72.9,22.9,32.0,Social,Directive,Critical,Kinesthetic,22.1,10.8,46.9,36.1,29.0,2025-06-30
89,89,68.0,82.0,41.0,72.5,55.3,38.1,52.0,17.4,Mixed,Behavioral,Linear,Multimodal,15.0,34.3,64.6,51.6,50.2,2025-06-30
90,90,53.9,64.7,49.9,62.6,48.6,55.2,41.3,53.2,Avoidance,Intuitive,Linear,Visual,17.1,53.5,51.8,41.6,59.2,2025-06-30
91,91,70.4,61.3,44.0,75.6,40.5,50.3,61.3,35.7,Spiritual,Conceptual,Linear,Visual,46.0,58.2,40.8,60.4,57.0,2025-06-30
92,92,43.5,71.7,49.1,56.6,45.3,52.9,46.0,70.9,Emotion-focused,Behavioral,Critical,Kinesthetic,80.6,51.8,44.5,38.9,54.1,2025-06-30
93,93,40.4,51.7,65.1,42.1,76.2,70.2,24.0,73.9,Spiritual,Directive,Linear,Kinesthetic,32.0,54.3,35.1,58.5,67.3,2025-06-30
94,94,45.4,56.2,50.4,41.4,77.7,90.0,13.4,46.8,Emotion-focused,Analytical,Critical,Auditory,70.4,16.9,52.3,30.7,44.4,2025-06-30
95,95,59.1,68.3,32.6,55.9,70.4,58.5,37.7,68.1,Avoidance,Intuitive,Systems,Reading/Writing,39.3,75.4,12.0,51.6,62.2,2025-06-30
96,96,59.2,56.5,50.2,63.0,66.3,63.0,33.4,57.9,Problem-focused,Intuitive,Linear,Visual,64.5,24.8,75.8,44.7,35.8,2025-06-30
97,97,50.0,61.7,37.0,58.7,73.1,65.0,44.8,78.6,Emotion-focused,Behavioral,Linear,Kinesthetic,50.6,30.1,79.0,37.9,28.5,2025-06-30
98,98,37.0,37.2,68.0,38.5,86.6,37.0,39.1,67.9,Social,Conceptual,Linear,Visual,39.1,43.3,72.8,48.3,35.9,2025-06-30
99,99,47.9,57.8,60.1,52.7,80.0,66.2,44.9,41.0,Avoidance,Conceptual,Lateral,Reading/Writing,24.9,58.7,79.2,30.9,57.4,2025-06-30
100,100,33.9,39.1,69.2,36.1,96.4,71.7,27.3,50.3,Mixed,Directive,Systems,Multimodal,31.4,31.6,64.7,26.6,38.4,2025-06-30
101,101,46.2,28.3,65.6,41.6,82.5,64.1,31.3,35.1,Mixed,Behavioral,Lateral,Kinesthetic,30.6,50.8,64.3,60.7,37.7,2025-06-30
102,102,83.3,78.0,18.4,76.0,38.1,29.1,61.6,48.3,Emotion-focused,Conceptual,Linear,Kinesthetic,37.6,38.2,61.7,54.2,69.3,2025-06-30
103,103,78.6,72.8,33.8,76.7,45.6,39.9,63.5,52.1,Mixed,Analytical,Critical,Visual,12.6,15.7,72.5,35.6,35.6,2025-06-30
104,104,98.7,85.1,37.9,80.4,44.5,50.5,63.0,67.7,Avoidance,Conceptual,Lateral,Multimodal,32.4,71.5,22.7,68.9,81.2,2025-06-30
105,105,93.8,87.9,16.8,91.5,17.5,46.4,61.1,56.7,Emotion-focused,Conceptual,Critical,Multimodal,75.8,35.8,50.0,65.6,57.1,2025-06-30
106,106,48.6,43.5,58.3,49.8,65.4,97.5,11.2,57.5,Mixed,Conceptual,Creative,Auditory,36.6,54.9,15.4,37.5,41.9,2025-06-30
107,107,55.2,49.0,60.4,42.5,69.3,55.8,37.9,68.1,Spiritual,Conceptual,Linear,Visual,16.1,9.4,27.5,27.3,18.2,2025-06-30
108,108,78.9,73.8,15.0,74.2,48.9,38.1,54.5,50.4,Avoidance,Analytical,Systems,Auditory,43.1,11.9,33.1,60.1,43.5,2025-06-30
109,109,85.8,70.9,36.8,75.6,34.3,41.1,52.4,58.5,Spiritual,Analytical,Creative,Auditory,46.9,43.7,27.3,55.5,44.9,2025-06-30
110,110,64.9,72.2,20.9,67.5,62.2,87.0,19.2,42.8,Spiritual,Intuitive,Linear,Auditory,67.5,1.5,32.3,50.2,56.7,2025-06-30
111,111,46.2,45.2,54.7,55.3,50.8,66.7,26.7,23.6,Spiritual,Directive,Creative,Multimodal,32.4,49.6,41.7,78.8,40.9,2025-06-30
112,112,48.7,51.0,49.0,44.3,76.2,77.2,24.2,37.4,Social,Analytical,Systems,Kinesthetic,91.8,24.1,56.4,26.7,37.7,2025-06-30
113,113,47.8,55.8,30.5,65.0,52.7,68.9,33.4,69.7,Problem-focused,Conceptual,Systems,Auditory,32.1,34.0,68.4,77.2,50.9,2025-06-30
114,114,54.9,58.5,53.2,53.7,83.5,72.9,39.9,38.5,Mixed,Analytical,Creative,Kinesthetic,41.3,64.9,26.9,31.0,59.9,2025-06-30
115,115,72.5,61.9,38.8,63.8,58.0,39.1,61.8,42.4,Social,Directive,Linear,Multimodal,46.4,34.5,31.9,29.3,44.1,2025-06-30
116,116,55.7,62.9,35.1,67.2,39.0,51.5,41.5,41.4,Mixed,Behavioral,Linear,Auditory,48.1,28.8,67.8,73.9,54.5,2025-06-30
117,117,43.2,35.7,59.1,33.5,96.3,53.3,39.4,66.7,Avoidance,Behavioral,Creative,Auditory,44.3,35.7,84.0,39.2,28.7,2025-06-30
118,118,36.4,33.9,73.8,28.5,89.8,87.6,16.9,41.5,Emotion-focused,Intuitive,Critical,Kinesthetic,51.1,39.3,78.8,35.6,41.4,2025-06-30
119,119,74.9,75.7,27.0,70.3,66.0,47.5,51.1,50.9,Social,Behavioral,Critical,Visual,44.7,31.9,62.3,72.2,59.6,2025-06-30
120,120,63.3,50.5,40.5,63.3,47.4,57.1,45.5,32.6,Emotion-focused,Behavioral,Linear,Auditory,38.1,63.5,92.1,55.3,59.7,2025-06-30
121,121,55.2,62.7,42.2,65.3,66.6,57.8,36.0,52.5,Mixed,Behavioral,Creative,Reading/Writing,31.5,42.0,49.6,52.2,43.6,2025-06-30
122,122,51.9,44.2,54.8,50.7,50.9,76.4,24.4,65.4,Social,Analytical,Critical,Multimodal,24.4,17.8,26.0,40.1,28.7,2025-06-30
123,123,39.9,35.2,67.8,41.0,79.6,78.2,32.1,86.6,Problem-focused,Intuitive,Lateral,Visual,58.8,46.3,50.8,36.3,42.0,2025-06-30
124,124,30.7,29.8,57.9,30.8,90.5,95.5,6.6,87.4,Problem-focused,Behavioral,Linear,Reading/Writing,52.5,38.9,57.8,29.1,40.4,2025-06-30
125,125,51.5,44.6,37.2,58.6,46.3,51.8,51.3,55.1,Emotion-focused,Intuitive,Systems,Auditory,33.2,64.5,74.5,60.8,39.5,2025-06-30
126,126,46.5,59.1,59.3,41.3,85.3,81.6,10.7,50.4,Problem-focused,Intuitive,Linear,Kinesthetic,46.2,8.1,47.5,28.8,38.0,2025-06-30
127,127,70.1,83.6,21.5,74.2,40.6,54.8,44.5,66.7,Avoidance,Behavioral,Creative,Kinesthetic,47.7,15.2,77.9,50.0,39.8,2025-06-30
128,128,71.3,69.2,37.3,71.0,41.8,42.2,50.8,43.4,Social,Behavioral,Critical,Auditory,39.2,2.3,78.9,44.0,22.2,2025-06-30
129,129,65.3,70.8,42.5,69.3,48.3,48.1,58.0,34.7,Mixed,Analytical,Creative,Multimodal,9.9,53.7,47.5,42.2,41.8,2025-06-30
130,130,57.1,52.9,54.5,55.9,62.8,70.4,23.7,39.6,Avoidance,Analytical,Critical,Reading/Writing,32.4,40.0,31.8,38.8,29.9,2025-06-30
131,131,71.7,79.9,37.2,69.3,66.0,46.4,57.9,67.7,Mixed,Analytical,Critical,Visual,48.9,62.0,75.6,72.6,60.2,2025-06-30
132,132,76.1,72.9,34.9,60.1,45.3,79.3,10.9,66.3,Emotion-focused,Directive,Linear,Auditory,63.6,20.5,61.6,43.4,39.4,2025-06-30
133,133,85.9,73.5,32.8,84.3,42.7,36.3,65.8,29.8,Problem-focused,Conceptual,Critical,Kinesthetic,36.1,20.0,48.2,71.4,49.4,2025-06-30
134,134,21.4,34.8,54.8,44.5,66.2,77.3,28.8,32.1,Spiritual,Analytical,Linear,Auditory,51.9,54.9,37.4,41.1,57.5,2025-06-30
135,135,83.8,69.6,38.6,59.6,54.0,66.6,40.2,54.5,Mixed,Intuitive,Linear,Reading/Writing,27.3,24.8,13.7,28.5,46.1,2025-06-30
136,136,49.4,53.2,37.7,54.4,51.9,86.8,21.7,49.8,Social,Intuitive,Critical,Reading/Writing,34.2,28.5,35.5,63.5,26.6,2025-06-30
137,137,27.9,24.8,64.3,30.3,88.8,65.7,38.8,44.4,Social,Intuitive,Lateral,Kinesthetic,48.8,38.0,65.3,46.1,31.4,2025-06-30
138,138,62.7,66.5,29.8,65.1,58.3,62.6,32.1,33.7,Problem-focused,Intuitive,Creative,Kinesthetic,6.6,21.9,20.1,28.8,49.3,2025-06-30
139,139,91.4,100.0,14.0,79.9,33.6,42.1,51.4,53.4,Emotion-focused,Conceptual,Critical,Multimodal,46.5,42.8,12.1,62.7,70.5,2025-06-30
140,140,70.9,60.6,50.6,55.0,64.6,67.2,38.0,43.5,Emotion-focused,Directive,Critical,Kinesthetic,26.3,42.4,78.6,35.0,56.6,2025-06-30
141,141,44.5,31.1,71.7,37.3,92.1,61.5,25.8,40.8,Emotion-focused,Intuitive,Linear,Visual,20.6,45.9,44.4,43.6,52.3,2025-06-30
142,142,33.0,31.4,75.4,35.0,88.2,75.8,21.9,44.9,Problem-focused,Behavioral,Systems,Auditory,34.6,37.7,41.5,23.1,27.1,2025-06-30
143,143,52.7,40.5,71.6,37.8,82.9,80.4,20.6,13.8,Emotion-focused,Behavioral,Systems,Reading/Writing,68.3,46.8,49.3,48.7,41.2,2025-06-30
144,144,58.6,64.4,53.5,59.5,40.3,46.7,54.0,37.8,Mixed,Analytical,Critical,Reading/Writing,47.5,42.7,49.0,35.9,43.5,2025-06-30
145,145,33.0,42.7,88.5,39.6,89.8,80.6,18.2,47.3,Mixed,Analytical,Linear,Multimodal,67.4,57.9,58.6,12.1,52.9,2025-06-30
146,146,50.6,67.4,37.2,61.4,87.8,59.8,28.4,43.8,Avoidance,Intuitive,Systems,Auditory,70.4,26.8,27.3,43.4,41.3,2025-06-30
147,147,48.1,53.4,57.9,55.8,63.7,80.0,23.3,64.9,Social,Analytical,Creative,Visual,61.4,35.9,34.7,28.0,36.1,2025-06-30
148,148,74.4,56.1,40.5,54.9,59.7,54.4,46.6,70.4,Emotion-focused,Intuitive,Lateral,Reading/Writing,56.9,65.9,8.0,49.5,42.5,2025-06-30
149,149,62.0,40.0,41.1,47.5,55.0,86.8,10.7,69.1,Spiritual,Intuitive,Linear,Reading/Writing,18.0,32.3,78.9,44.8,34.7,2025-06-30
150,150,29.2,34.0,73.8,41.0,83.7,81.4,22.1,59.5,Mixed,Behavioral,Critical,Auditory,49.3,18.5,35.0,33.4,19.7,2025-06-30
151,151,19.3,34.3,79.3,31.4,82.9,81.0,12.1,83.7,Spiritual,Analytical,Creative,Visual,43.9,32.9,47.3,50.6,42.1,2025-06-30
152,152,22.7,34.2,83.2,31.2,81.2,76.8,26.7,74.0,Mixed,Intuitive,Creative,Visual,34.3,39.9,81.9,35.6,38.1,2025-06-30
153,153,82.7,74.6,23.0,76.6,45.3,51.7,48.0,0.0,Social,Analytical,Lateral,Visual,56.7,44.4,34.7,79.2,65.7,2025-06-30
154,154,47.2,45.1,49.3,58.0,88.0,47.0,50.5,51.8,Emotion-focused,Conceptual,Systems,Auditory,77.6,50.3,37.3,42.5,57.4,2025-06-30
155,155,71.6,66.2,50.6,70.4,54.6,40.6,54.0,49.5,Problem-focused,Behavioral,Critical,Multimodal,65.7,81.7,38.1,61.8,71.8,2025-06-30
156,156,27.6,41.7,44.7,51.2,71.7,85.0,29.4,29.4,Emotion-focused,Conceptual,Systems,Visual,32.6,37.2,53.3,36.4,39.5,2025-06-30
157,157,36.9,43.9,63.4,59.4,66.8,60.3,31.8,28.0,Spiritual,Behavioral,Linear,Multimodal,29.6,53.7,50.7,41.3,50.0,2025-06-30
158,158,60.9,38.3,45.2,43.4,95.0,83.4,18.4,40.2,Spiritual,Directive,Systems,Auditory,27.7,33.3,41.9,5.5,28.3,2025-06-30
159,159,68.0,76.6,34.7,59.0,64.8,45.7,49.8,45.8,Mixed,Intuitive,Lateral,Visual,48.7,26.3,85.6,54.6,46.7,2025-06-30
160,160,40.8,58.0,42.0,56.8,75.8,48.6,57.0,85.6,Problem-focused,Behavioral,Linear,Multimodal,20.6,50.8,79.8,31.9,46.3,2025-06-30
161,161,64.5,79.2,33.4,75.7,55.6,64.9,46.5,52.9,Social,Analytical,Systems,Visual,48.0,54.1,29.2,65.8,59.8,2025-06-30
162,162,61.2,66.4,43.5,59.8,58.3,74.2,29.2,60.0,Mixed,Directive,Lateral,Multimodal,61.6,60.4,77.7,44.5,58.2,2025-06-30
