outcome_id,user_id,period,effort_score,surrender_score,balance_index,success_score,failure_score,productivity,creativity,leadership,financial_growth,career_growth,relationship_score,health_improvement,happiness_score,burnout_flag,success_label,recorded_at
48,48,Q1-2025,35.5,48.7,86.8,64.4,42.8,46.9,27.1,86.3,37.9,51.9,37.9,51.3,51.6,0,0,2025-12-31
49,49,Q3-2025,36.1,29.9,93.8,63.2,23.8,31.7,36.3,70.7,51.0,30.4,24.7,20.8,53.1,0,0,2025-12-31
50,50,H1-2025,53.1,32.2,79.1,48.1,52.0,45.4,43.1,44.3,10.1,38.3,7.4,22.6,45.0,0,0,2025-12-31
51,51,Q2-2025,79.0,73.8,94.8,80.1,26.0,85.7,37.9,91.2,34.6,75.1,44.4,36.1,55.4,0,1,2025-12-31
52,52,Q3-2025,25.8,81.4,44.4,37.9,67.9,35.5,60.0,64.5,15.2,37.2,58.5,18.3,64.2,0,0,2025-12-31
53,53,Q3-2025,35.2,17.2,82.0,59.0,43.4,39.9,55.4,62.3,39.9,44.2,6.6,26.6,51.2,0,0,2025-12-31
54,54,H1-2025,90.5,57.9,67.4,69.0,25.6,51.6,92.6,64.4,54.7,62.3,49.1,27.1,41.1,0,1,2025-12-31
55,55,H2-2025,18.1,71.0,47.1,38.5,65.0,53.9,48.9,63.2,31.8,25.3,77.0,46.0,69.8,0,0,2025-12-31
56,56,H1-2025,17.5,45.2,72.3,58.6,42.8,54.5,65.0,69.4,61.4,56.1,12.6,30.5,47.5,0,0,2025-12-31
57,57,Q2-2025,67.2,70.4,96.8,74.3,30.8,63.8,72.6,91.2,32.9,85.6,52.1,16.6,63.7,0,1,2025-12-31
58,58,H1-2025,97.1,60.2,63.1,58.6,44.2,97.3,82.3,74.4,22.1,53.7,58.7,35.8,67.0,0,0,2025-12-31
59,59,Q4-2025,70.2,57.1,86.9,56.2,40.4,42.7,69.3,74.6,11.6,76.0,29.2,32.3,77.5,0,0,2025-12-31
60,60,Q1-2025,46.0,41.7,95.7,99.5,1.3,87.3,49.1,76.6,57.8,66.6,40.3,7.5,44.0,0,1,2025-12-31
61,61,Q3-2025,52.7,83.2,69.5,65.6,31.4,54.1,82.0,58.6,40.6,42.6,50.8,15.5,56.9,0,1,2025-12-31
62,62,H2-2025,63.8,33.2,69.4,49.1,45.6,25.2,48.9,61.7,13.9,33.5,22.2,39.2,58.5,0,0,2025-12-31
63,63,Q2-2025,46.4,63.2,83.2,55.6,42.3,60.7,29.6,67.5,34.4,45.0,66.4,48.5,92.3,0,0,2025-12-31
64,64,H2-2025,95.7,41.7,46.0,40.2,63.4,64.1,51.7,36.6,-5.0,50.0,28.9,28.0,60.8,0,0,2025-12-31
65,65,Q3-2025,62.7,60.1,97.4,63.0,35.8,42.6,42.3,79.8,38.4,51.0,44.0,26.0,49.9,0,0,2025-12-31
66,66,Q1-2025,58.0,45.7,87.7,70.4,31.4,59.9,75.2,59.2,53.1,58.0,22.1,29.8,56.3,0,1,2025-12-31
67,67,Q2-2025,61.4,33.4,72.0,63.4,39.6,35.8,51.7,69.7,21.3,45.5,62.5,64.4,53.6,0,0,2025-12-31
68,68,Q2-2025,81.4,25.8,44.4,61.5,35.3,90.2,69.0,70.7,10.8,54.1,22.2,67.0,59.2,0,0,2025-12-31
69,69,H2-2025,59.0,45.7,86.7,72.8,23.3,64.1,59.8,68.0,57.3,57.3,27.7,51.2,43.6,0,1,2025-12-31
70,70,Q2-2025,50.2,24.8,74.6,65.0,38.5,46.3,40.2,68.4,11.9,47.0,22.7,17.0,40.4,0,1,2025-12-31
71,71,Q2-2025,68.2,48.4,80.2,67.0,15.1,47.3,72.6,73.7,22.1,60.2,27.2,16.6,68.9,0,1,2025-12-31
72,72,Q1-2025,73.5,24.1,50.6,50.0,47.0,31.8,83.5,50.8,17.3,34.2,30.8,9.9,63.9,0,0,2025-12-31
73,73,Q2-2025,75.3,18.7,43.4,62.9,40.5,48.7,70.1,34.1,52.5,34.7,25.9,39.3,59.9,1,0,2025-12-31
74,74,Q1-2025,67.1,60.7,93.6,65.0,43.7,55.7,77.6,58.7,53.0,44.8,18.5,36.5,55.3,0,1,2025-12-31
75,75,Q3-2025,72.1,65.3,93.2,75.7,27.1,37.4,41.7,71.9,24.6,65.9,64.0,36.2,58.6,0,1,2025-12-31
76,76,H1-2025,50.6,74.8,75.8,64.4,42.3,47.0,51.5,67.8,53.9,58.1,57.8,47.0,47.0,0,0,2025-12-31
77,77,H1-2025,59.0,40.4,81.4,64.8,33.5,73.0,68.2,74.8,10.9,70.4,22.6,35.4,73.8,0,0,2025-12-31
78,78,Q1-2025,64.7,7.2,42.5,68.9,27.3,76.5,45.4,52.4,37.1,38.8,31.4,44.0,56.6,0,1,2025-12-31
79,79,Q4-2025,54.2,49.6,95.4,63.4,25.8,26.6,74.0,81.3,9.3,38.8,46.3,47.9,68.4,0,0,2025-12-31
80,80,Q3-2025,72.0,24.6,52.6,47.7,58.8,55.0,61.4,53.2,21.1,42.9,20.9,42.7,69.1,0,0,2025-12-31
81,81,Q3-2025,58.7,38.1,79.4,68.1,35.3,59.4,41.9,67.9,14.1,58.6,15.6,45.6,61.2,0,1,2025-12-31
82,82,Q2-2025,55.8,54.7,98.9,79.8,21.9,55.8,51.6,86.9,40.9,72.1,43.1,34.8,80.5,0,1,2025-12-31
83,83,H2-2025,79.5,28.5,49.0,56.0,51.4,44.2,46.7,48.0,15.5,46.4,37.3,35.6,66.2,0,0,2025-12-31
84,84,H2-2025,73.9,49.5,75.6,56.0,48.7,40.2,55.0,68.7,43.1,39.3,45.5,25.1,86.3,0,0,2025-12-31
85,85,H1-2025,82.8,55.5,72.7,25.3,77.6,46.2,100.0,65.6,8.3,44.6,32.9,19.9,30.1,0,0,2025-12-31
86,86,Q1-2025,65.5,28.1,62.6,48.6,58.2,49.5,58.3,58.3,28.2,36.6,27.2,36.4,85.2,0,0,2025-12-31
87,87,Q4-2025,83.1,30.0,46.9,58.0,41.0,68.0,93.2,58.9,41.1,35.5,13.8,34.7,62.8,0,0,2025-12-31
88,88,Q3-2025,61.1,19.7,58.6,35.8,74.1,56.3,43.9,61.0,19.2,53.2,28.6,28.2,67.0,0,0,2025-12-31
89,89,Q1-2025,81.0,47.3,66.3,39.6,53.4,50.9,23.1,67.1,-17.7,35.5,38.7,44.9,59.8,0,0,2025-12-31
90,90,Q3-2025,63.3,65.6,97.7,72.5,35.4,60.3,87.9,64.9,1.2,64.8,41.6,59.9,83.5,0,1,2025-12-31
91,91,H1-2025,47.4,63.7,83.7,70.0,32.9,70.9,67.5,63.4,60.1,49.8,31.2,51.8,65.9,0,1,2025-12-31
92,92,H2-2025,84.8,46.0,61.2,56.6,41.8,51.3,75.2,68.7,-2.2,59.1,25.0,34.9,62.9,0,0,2025-12-31
93,93,Q3-2025,31.9,59.2,72.7,55.4,43.8,40.9,41.3,77.9,9.9,43.7,54.3,54.5,36.9,0,0,2025-12-31
94,94,Q3-2025,45.6,40.6,95.0,60.2,32.4,45.6,59.2,67.4,25.6,52.7,14.4,25.6,48.8,0,0,2025-12-31
95,95,Q4-2025,47.7,61.1,86.6,72.1,32.6,33.4,21.2,82.6,16.2,60.9,44.5,59.4,52.4,0,1,2025-12-31
96,96,H1-2025,79.7,19.0,39.3,54.0,41.2,59.7,87.7,57.6,26.1,36.0,24.4,48.3,51.6,0,0,2025-12-31
97,97,Q1-2025,88.2,17.8,29.6,28.2,57.4,68.8,69.8,63.1,18.7,30.1,6.9,24.3,49.3,0,0,2025-12-31
98,98,Q2-2025,52.7,70.9,81.8,67.7,24.9,30.4,57.8,59.7,49.6,48.4,22.3,55.5,70.8,0,1,2025-12-31
99,99,Q2-2025,78.9,38.9,60.0,37.2,60.6,44.9,55.4,69.8,9.9,41.6,41.0,49.1,49.9,0,0,2025-12-31
100,100,Q1-2025,65.2,21.9,56.7,30.3,70.6,30.8,49.1,76.4,36.7,34.8,22.3,19.3,58.5,0,0,2025-12-31
101,101,H1-2025,64.4,45.2,80.8,58.4,41.9,61.3,50.6,74.1,34.0,42.4,33.9,25.5,66.8,0,0,2025-12-31
102,102,Q2-2025,80.1,43.6,63.5,61.8,31.3,77.4,30.4,69.2,1.0,63.8,36.2,37.9,48.2,0,0,2025-12-31
103,103,H1-2025,52.3,24.7,72.4,54.3,50.3,77.0,54.3,72.4,38.7,55.1,2.1,18.9,51.9,0,0,2025-12-31
104,104,Q1-2025,80.4,44.0,63.6,64.0,37.8,74.5,44.5,73.1,49.4,48.5,63.2,46.3,50.9,0,0,2025-12-31
105,105,Q1-2025,62.3,58.7,96.4,94.2,0.0,79.6,19.2,69.3,47.0,66.1,38.4,41.6,54.3,0,1,2025-12-31
106,106,Q1-2025,79.4,48.6,69.2,49.9,50.2,58.4,52.6,68.4,36.0,52.2,30.9,40.8,64.1,0,0,2025-12-31
107,107,Q2-2025,70.7,12.6,41.9,25.6,77.0,45.4,70.2,62.9,22.4,35.1,0.0,22.4,20.1,0,0,2025-12-31
108,108,H2-2025,43.6,20.4,76.8,75.6,22.9,48.6,48.7,63.3,77.6,74.3,6.0,45.7,40.8,0,1,2025-12-31
109,109,H1-2025,31.2,52.0,79.2,71.3,25.8,65.9,19.8,65.8,22.0,56.9,23.3,45.3,58.6,0,1,2025-12-31
110,110,Q3-2025,63.1,43.1,80.0,60.1,38.2,59.3,78.4,81.1,40.5,70.6,24.4,36.5,68.6,0,0,2025-12-31
111,111,H2-2025,67.2,52.0,84.8,72.9,33.4,46.1,49.3,70.7,52.7,41.8,37.5,55.2,28.2,0,1,2025-12-31
112,112,Q2-2025,85.9,40.7,54.8,50.1,47.5,67.2,28.8,67.8,11.6,36.5,20.8,47.1,48.4,0,0,2025-12-31
113,113,Q4-2025,95.8,57.5,61.7,57.0,40.7,87.2,46.6,56.0,48.4,48.4,16.1,32.7,45.1,0,0,2025-12-31
114,114,H1-2025,72.0,48.4,76.4,50.8,50.9,46.4,61.5,88.7,27.8,38.4,54.2,26.9,53.4,1,0,2025-12-31
115,115,Q2-2025,98.6,42.4,43.8,54.0,38.2,65.1,63.4,56.8,25.2,41.5,24.4,62.5,50.3,0,0,2025-12-31
116,116,H1-2025,80.5,34.9,54.4,43.8,58.1,56.1,76.9,59.1,43.4,35.6,33.1,47.2,66.5,0,0,2025-12-31
117,117,Q1-2025,58.2,23.1,64.9,48.4,46.6,38.9,75.0,71.3,16.7,42.7,27.4,39.2,56.7,0,0,2025-12-31
118,118,Q3-2025,88.4,48.4,60.0,36.1,69.7,45.7,61.7,39.3,34.7,23.8,50.7,39.5,68.7,0,0,2025-12-31
119,119,Q2-2025,81.2,60.1,78.9,66.5,31.8,45.6,21.8,65.0,37.5,41.4,38.5,56.7,66.8,0,1,2025-12-31
120,120,Q2-2025,89.3,55.9,66.6,53.4,36.8,69.3,48.0,55.0,8.5,37.9,39.3,35.0,63.1,0,0,2025-12-31
121,121,Q4-2025,66.8,31.4,64.6,47.1,50.6,79.0,43.6,71.9,22.6,40.1,28.6,20.6,64.4,0,0,2025-12-31
122,122,H1-2025,54.9,12.8,57.9,45.4,41.8,55.2,30.7,49.9,33.0,50.7,23.9,31.4,49.5,0,0,2025-12-31
123,123,Q1-2025,59.0,36.5,77.5,68.1,42.8,27.8,50.9,53.0,18.2,53.9,42.1,40.1,72.5,0,1,2025-12-31
124,124,Q4-2025,80.3,40.4,60.1,48.4,60.3,50.6,6.0,37.9,18.6,38.6,42.8,43.8,75.1,0,0,2025-12-31
125,125,H2-2025,65.3,66.3,99.0,75.1,3.8,44.2,38.2,81.2,62.5,45.4,53.6,42.3,66.6,0,1,2025-12-31
126,126,Q3-2025,62.0,16.4,54.4,28.1,62.8,50.2,83.9,44.6,13.6,15.1,0.0,48.0,28.4,0,0,2025-12-31
127,127,Q3-2025,55.6,18.4,62.8,60.5,36.1,62.2,34.5,60.3,27.4,50.5,25.3,46.0,74.1,0,0,2025-12-31
128,128,H2-2025,74.1,20.9,46.8,41.7,60.5,73.3,18.2,64.8,26.7,41.6,21.1,45.2,60.7,0,0,2025-12-31
129,129,H2-2025,83.3,43.9,60.6,65.8,22.2,61.0,100.0,49.2,31.7,57.7,22.2,61.8,71.1,0,1,2025-12-31
130,130,Q1-2025,67.8,50.3,82.5,52.5,44.8,35.3,61.5,66.5,40.9,48.5,31.2,17.0,62.9,0,0,2025-12-31
131,131,Q3-2025,48.4,69.7,78.7,62.4,30.1,59.7,46.2,77.8,37.9,58.3,36.9,32.6,55.8,0,0,2025-12-31
132,132,Q2-2025,59.0,23.1,64.1,61.0,40.8,65.7,77.5,65.5,59.2,34.8,40.9,43.9,50.1,0,0,2025-12-31
133,133,H1-2025,66.4,44.1,77.7,67.9,29.4,66.0,39.0,89.3,6.0,42.7,25.0,45.7,54.2,0,1,2025-12-31
134,134,H1-2025,34.2,48.9,85.3,70.7,21.6,53.0,42.4,60.8,64.1,49.3,48.1,43.7,49.5,0,1,2025-12-31
135,135,H2-2025,27.9,0.0,72.1,82.8,13.7,27.9,83.2,77.7,47.6,42.1,2.4,17.9,40.8,0,1,2025-12-31
136,136,Q1-2025,77.4,16.9,39.5,45.9,48.0,65.4,38.3,65.1,27.4,46.6,22.1,10.4,68.8,0,0,2025-12-31
137,137,Q2-2025,46.1,69.0,77.1,68.4,30.2,28.6,38.3,58.2,34.1,49.3,50.2,39.6,61.7,0,1,2025-12-31
138,138,Q2-2025,48.3,19.9,71.6,67.6,33.1,42.3,48.9,62.6,49.1,64.5,14.6,21.1,35.4,0,1,2025-12-31
139,139,Q4-2025,84.8,57.9,73.1,69.7,37.8,78.8,78.6,55.2,5.1,47.5,34.2,32.2,66.5,0,1,2025-12-31
140,140,H1-2025,44.8,71.9,72.9,56.7,38.6,24.9,83.2,50.1,30.7,29.2,52.1,70.6,85.3,0,0,2025-12-31
141,141,Q3-2025,25.3,68.1,57.2,47.2,52.8,15.7,27.4,79.6,45.6,48.8,55.1,37.3,67.8,0,0,2025-12-31
142,142,Q3-2025,57.6,43.5,85.9,63.9,41.0,20.3,16.2,67.4,15.8,47.4,23.8,33.2,54.2,0,0,2025-12-31
143,143,Q1-2025,97.8,40.1,42.3,33.4,56.3,55.1,21.6,65.4,4.6,18.3,24.2,41.5,64.4,0,0,2025-12-31
144,144,Q4-2025,69.4,36.6,67.2,48.0,51.1,59.8,46.7,77.1,36.9,32.8,29.0,24.9,39.4,0,0,2025-12-31
145,145,H2-2025,71.3,41.4,70.1,51.2,42.6,52.0,61.2,76.4,29.7,55.7,30.5,51.6,55.3,0,0,2025-12-31
146,146,H1-2025,65.5,27.6,62.1,47.6,43.0,62.4,84.0,69.9,38.2,56.4,34.0,19.6,55.1,0,0,2025-12-31
147,147,Q3-2025,68.6,24.3,55.7,42.4,55.1,63.0,33.6,66.6,28.9,40.3,30.8,37.5,49.4,0,0,2025-12-31
148,148,H2-2025,26.0,53.7,72.3,58.0,37.9,44.0,75.1,81.8,30.4,64.9,39.6,31.9,63.8,0,0,2025-12-31
149,149,H1-2025,34.6,20.1,85.5,49.5,48.3,41.8,31.1,58.0,13.7,30.9,14.4,52.5,48.2,0,0,2025-12-31
150,150,Q1-2025,77.9,33.9,56.0,35.9,71.9,32.9,64.5,58.0,23.9,32.0,32.4,45.9,36.6,0,0,2025-12-31
151,151,Q4-2025,70.6,68.1,97.5,52.9,39.7,37.5,71.1,65.1,16.1,30.2,32.0,33.8,28.1,0,0,2025-12-31
152,152,Q1-2025,80.9,80.8,99.9,66.8,40.4,58.2,94.5,68.6,53.2,52.6,51.9,47.7,82.4,0,1,2025-12-31
153,153,Q3-2025,48.6,65.1,83.5,67.4,40.6,81.1,55.4,75.6,51.2,57.6,52.3,22.3,60.1,1,1,2025-12-31
154,154,Q4-2025,65.0,53.6,88.6,77.2,17.2,63.1,64.6,81.9,30.6,59.3,41.7,39.9,60.9,0,1,2025-12-31
155,155,Q3-2025,66.8,70.6,96.2,79.7,18.0,40.6,43.7,70.7,24.9,60.6,65.1,29.7,66.5,0,1,2025-12-31
156,156,Q4-2025,35.6,27.5,91.9,68.7,29.3,24.4,68.4,83.8,34.2,61.4,22.2,38.8,51.1,0,1,2025-12-31
157,157,H1-2025,92.0,49.1,57.1,54.1,47.2,62.9,18.4,95.5,51.0,56.9,57.4,33.9,72.4,0,0,2025-12-31
158,158,Q1-2025,45.8,19.8,74.0,44.2,44.3,66.2,48.7,71.5,29.2,45.9,18.8,19.4,63.5,0,0,2025-12-31
159,159,Q2-2025,60.4,55.4,95.0,66.9,43.7,38.5,51.0,94.0,8.9,73.5,29.7,52.0,61.6,0,1,2025-12-31
160,160,Q4-2025,70.6,48.2,77.6,73.1,33.7,50.6,78.9,67.4,45.0,61.6,33.3,48.1,38.1,0,1,2025-12-31
161,161,Q4-2025,48.2,57.1,91.1,69.2,33.3,57.6,51.3,70.0,55.3,45.6,38.7,26.3,60.5,0,1,2025-12-31
162,162,Q3-2025,48.5,49.5,99.0,68.8,31.3,52.0,70.6,72.2,22.9,51.7,45.0,39.7,54.0,0,1,2025-12-31
163,163,Q2-2025,71.1,67.2,96.1,66.2,29.5,72.7,88.8,56.1,50.0,48.7,62.6,42.9,61.5,0,1,2025-12-31
164,164,Q3-2025,39.9,48.3,91.6,58.3,43.7,10.9,73.7,77.7,9.5,68.2,42.0,42.5,60.3,0,0,2025-12-31
165,165,Q3-2025,48.7,27.9,79.2,56.2,43.6,46.3,51.0,58.5,34.7,43.2,27.3,24.5,67.6,0,0,2025-12-31
166,166,Q2-2025,53.9,44.2,90.3,48.7,58.4,30.3,60.1,60.3,10.2,47.2,37.3,30.4,49.7,0,0,2025-12-31
167,167,H2-2025,57.1,13.0,55.9,25.2,77.0,27.5,43.2,49.6,6.7,30.9,27.4,47.0,32.8,0,0,2025-12-31
168,168,Q1-2025,34.7,34.0,99.3,53.0,47.1,54.4,59.0,55.4,32.7,60.2,25.0,46.7,61.6,0,0,2025-12-31
169,169,Q3-2025,81.5,63.8,82.3,43.8,52.1,42.0,58.7,72.2,32.6,51.4,48.6,25.4,59.8,0,0,2025-12-31
170,170,H1-2025,50.4,56.6,93.8,61.4,43.4,23.3,36.9,49.3,16.0,47.3,24.4,30.6,71.5,0,0,2025-12-31
171,171,Q2-2025,74.1,14.7,40.6,36.0,65.5,63.0,52.4,65.7,19.4,45.9,22.2,38.0,75.7,0,0,2025-12-31
172,172,Q3-2025,54.3,44.9,90.6,58.7,50.2,58.6,51.5,87.9,24.8,44.6,55.3,45.2,58.9,0,0,2025-12-31
173,173,Q2-2025,64.4,40.0,75.6,62.8,43.2,68.1,36.5,58.4,34.7,46.3,45.4,46.8,51.4,0,0,2025-12-31
174,174,Q4-2025,46.3,86.6,59.7,48.3,46.2,58.0,51.5,59.4,33.2,46.3,58.8,23.4,65.4,0,0,2025-12-31
175,175,Q2-2025,44.4,31.7,87.3,67.5,28.3,39.7,19.2,79.1,47.2,54.6,23.7,31.4,62.1,0,1,2025-12-31
176,176,Q4-2025,27.5,31.9,95.6,83.7,19.0,48.7,65.9,73.5,41.3,57.2,34.6,43.7,53.2,0,1,2025-12-31
177,177,Q4-2025,35.7,35.3,99.6,70.0,29.0,38.1,78.0,69.1,18.0,60.7,32.2,13.8,47.1,0,1,2025-12-31
178,178,H2-2025,69.0,72.5,96.5,73.7,37.0,61.9,64.1,74.9,21.1,51.1,48.8,34.8,76.7,0,1,2025-12-31
179,179,Q4-2025,76.9,48.6,71.7,70.6,26.7,59.1,28.4,77.7,30.0,64.9,47.9,46.6,77.2,0,1,2025-12-31
180,180,H1-2025,73.3,51.2,77.9,52.8,51.8,45.8,74.2,70.9,32.0,51.7,32.7,70.8,45.6,0,0,2025-12-31
181,181,Q2-2025,68.0,54.1,86.1,54.3,53.9,66.0,42.7,79.4,31.4,34.4,32.4,30.8,44.4,0,0,2025-12-31
182,182,Q4-2025,87.7,92.7,95.0,74.1,20.6,82.5,63.9,94.7,45.8,62.2,71.8,50.6,48.2,0,1,2025-12-31
183,183,H1-2025,52.6,32.4,79.8,49.8,47.5,39.6,2.0,94.9,-6.3,51.4,23.3,17.6,78.1,0,0,2025-12-31
184,184,H2-2025,86.8,61.9,75.1,86.7,20.3,58.9,40.2,68.7,43.8,68.9,49.5,49.2,64.2,1,1,2025-12-31
185,185,Q2-2025,67.0,12.2,45.2,44.4,60.1,46.7,36.4,63.2,30.4,15.5,12.2,32.2,58.5,0,0,2025-12-31
186,186,Q3-2025,53.0,42.7,89.7,75.1,20.0,69.7,51.5,81.5,18.0,50.3,19.5,33.2,65.2,0,1,2025-12-31
187,187,H2-2025,58.7,33.4,74.7,64.4,22.5,84.5,35.1,50.0,36.9,68.2,53.9,16.2,61.9,0,0,2025-12-31
