event_id,user_id,event_type,event_date,impact_score,emotional_impact,financial_impact,stress_impact,recovery_time,support_received,lesson_learned,adaptation_score,resilience_score,mindset_shift,behavioral_change,risk_taken,outcome_effect,long_term_effect,recorded_at
49,49,Education Milestone,2022-06-30,5.1,3.1,23.3,0.0,13.0,38.0,37.7,9.2,26.2,52.4,50.4,41.0,1.3,27.3,2022-07-11
50,50,Retirement,2022-03-09,-19.8,29.0,-20.0,13.4,15.0,60.0,54.2,30.7,15.6,32.7,29.8,64.1,12.2,32.4,2022-04-10
51,51,Childbirth,2025-09-20,12.4,22.9,-45.4,7.8,10.0,43.4,74.3,73.4,84.7,53.0,59.9,61.6,56.0,59.0,2025-11-03
52,52,Layoff,2023-02-23,28.0,25.0,-22.8,29.7,14.0,44.5,55.6,44.2,42.5,40.4,86.5,31.3,28.8,34.0,2023-04-22
53,53,Investment Win,2022-03-20,20.0,12.5,-27.1,4.3,6.0,57.8,63.8,75.6,59.0,25.4,47.6,0.0,71.6,75.4,2022-05-29
54,54,Reconciliation,2024-10-09,-4.2,1.5,-24.9,1.9,0.0,74.3,79.1,46.7,52.1,39.8,20.4,50.6,38.8,40.5,2024-11-27
55,55,Retirement,2025-12-11,-29.8,29.9,-11.2,21.0,16.0,51.6,60.0,44.5,62.9,45.3,64.3,52.9,8.8,19.5,2026-02-19
56,56,Retirement,2024-12-21,13.6,14.3,-23.4,7.0,28.0,77.0,35.6,43.8,41.4,30.1,26.2,53.4,19.5,39.2,2025-01-29
57,57,Financial Loss,2023-04-06,-26.6,23.3,-15.6,30.5,18.0,58.9,61.2,36.6,89.5,29.8,61.4,20.9,-0.1,22.1,2023-05-04
58,58,Accident,2025-06-21,-26.0,30.8,40.1,20.7,14.0,37.1,50.0,43.2,68.8,37.2,66.6,27.0,14.2,36.8,2025-07-31
59,59,Reconciliation,2022-06-20,10.6,0.0,41.6,12.2,5.0,25.6,65.0,53.3,87.5,29.6,50.1,14.5,39.7,38.2,2022-09-11
60,60,Illness,2022-08-26,-33.6,35.2,-5.9,37.1,47.0,17.6,43.8,43.3,59.2,46.6,43.8,28.4,-11.1,-8.3,2022-09-30
61,61,Travel,2025-02-22,-16.8,21.6,-7.0,15.3,15.0,94.3,49.9,52.3,64.4,48.4,62.3,32.8,2.9,14.7,2025-03-24
62,62,Travel,2025-04-08,-10.2,0.0,-0.8,2.9,8.0,33.7,55.0,27.3,29.8,22.3,43.1,66.2,-4.1,13.1,2025-05-15
63,63,Accident,2024-03-19,-16.9,16.9,-0.2,11.8,20.0,30.1,67.5,25.7,47.5,64.8,63.5,37.4,-5.1,19.1,2024-05-06
64,64,Illness,2022-04-27,-19.2,6.1,4.8,4.8,7.0,28.3,69.2,47.1,29.0,28.0,57.8,14.8,12.0,49.9,2022-05-19
65,65,Illness,2023-09-18,-10.7,12.5,-35.0,3.3,0.0,41.1,71.8,81.4,57.8,38.3,52.4,36.1,49.7,56.6,2023-10-31
66,66,Divorce,2022-02-17,77.7,80.5,7.1,46.0,57.0,33.7,48.9,44.9,64.0,41.5,64.5,64.5,55.0,56.8,2022-05-01
67,67,Childbirth,2025-08-24,10.8,22.2,-1.6,0.0,9.0,50.6,36.7,50.8,65.4,37.0,71.0,58.5,13.5,24.5,2025-08-30
68,68,Marriage,2024-10-25,-39.6,52.3,11.2,28.1,38.0,73.7,40.5,56.4,61.5,18.8,42.4,32.5,-10.3,11.8,2024-12-28
69,69,Childbirth,2024-06-04,22.7,19.8,20.8,27.7,10.0,32.7,25.1,41.7,52.1,23.4,44.4,34.2,26.2,22.1,2024-07-27
70,70,Illness,2024-01-30,-14.2,12.3,15.6,6.7,23.0,31.4,37.4,23.3,39.4,22.6,86.2,52.4,14.1,14.2,2024-03-26
71,71,Childbirth,2023-12-31,15.9,2.4,-11.1,14.1,13.0,48.3,87.7,67.6,47.7,42.6,37.7,56.9,52.1,65.9,2024-03-04
72,72,Layoff,2024-04-07,58.2,73.6,-29.2,14.8,63.0,89.9,72.3,19.6,43.7,52.3,62.6,58.4,45.9,60.3,2024-06-14
73,73,Illness,2025-04-18,4.1,10.5,-17.6,8.9,17.0,44.9,30.8,40.4,43.9,30.6,28.6,20.7,9.0,29.6,2025-07-11
74,74,Childbirth,2024-11-10,-11.3,4.8,29.3,10.2,15.0,22.6,55.0,40.0,28.6,46.0,51.2,24.8,13.8,43.0,2024-12-24
75,75,Childbirth,2022-05-26,-92.2,75.2,-61.1,66.1,69.0,32.9,75.8,46.7,67.8,36.2,48.9,43.7,-30.4,-12.9,2022-08-06
76,76,Financial Loss,2024-11-17,-0.3,8.4,-8.1,9.3,0.0,26.3,72.8,69.5,45.3,59.1,55.5,7.1,26.4,32.3,2025-02-05
77,77,Education Milestone,2022-07-28,-19.5,27.7,-13.2,8.4,0.0,83.5,53.1,31.7,65.7,19.7,48.7,21.9,-4.5,-8.5,2022-10-07
78,78,Investment Win,2023-02-13,16.2,8.6,-4.6,4.7,7.0,36.4,33.7,35.2,49.3,22.4,64.4,23.1,40.4,43.5,2023-04-13
79,79,Job Change,2025-06-24,1.8,13.8,1.4,6.6,0.0,42.7,42.5,40.8,44.4,30.7,62.1,44.1,24.4,35.2,2025-07-19
80,80,Childbirth,2022-05-15,-34.3,34.6,15.7,25.0,18.0,12.1,60.4,43.0,42.3,37.8,81.2,40.5,-6.6,40.7,2022-07-28
81,81,Marriage,2024-08-11,-32.4,34.2,-2.0,12.3,33.0,10.8,44.3,35.5,35.9,42.2,52.9,41.0,1.2,12.0,2024-08-22
82,82,Promotion,2022-11-11,3.8,3.1,-31.5,16.5,0.0,41.4,65.0,46.0,82.1,34.3,22.1,4.3,28.6,38.2,2023-01-29
83,83,Retirement,2022-05-10,-46.4,55.6,12.5,38.6,52.0,65.7,60.7,29.8,44.4,21.4,35.4,77.1,-16.8,3.5,2022-06-05
84,84,Promotion,2025-12-11,3.5,0.0,-27.4,0.0,17.0,44.3,64.4,29.7,32.7,47.3,32.0,61.5,9.4,36.6,2026-02-16
85,85,Childbirth,2025-12-13,-28.2,22.3,1.9,9.9,37.0,58.4,73.5,35.1,31.9,42.3,27.7,53.3,0.9,19.5,2026-01-30
86,86,Education Milestone,2023-04-19,14.3,24.1,-39.6,28.0,9.0,97.2,34.8,32.9,53.5,29.4,66.6,44.8,37.0,39.3,2023-05-25
87,87,Bereavement,2024-08-18,33.6,32.7,-2.4,25.8,14.0,62.1,44.0,20.5,47.7,45.6,36.3,22.8,30.6,13.4,2024-08-25
88,88,Illness,2024-08-10,18.3,32.8,29.6,10.4,10.0,91.6,28.9,39.4,20.4,42.5,71.7,34.7,26.0,26.1,2024-09-29
89,89,Spiritual Awakening,2023-07-27,-13.4,10.9,0.6,8.2,20.0,80.6,66.9,33.1,52.3,56.6,35.0,23.7,36.3,41.3,2023-09-02
90,90,Financial Loss,2025-07-28,-37.3,37.2,-33.6,27.5,33.0,26.5,79.9,51.1,52.0,32.0,30.5,55.9,25.1,30.8,2025-10-12
91,91,Marriage,2022-04-29,-5.5,3.6,53.1,18.0,2.0,79.5,36.4,31.3,61.8,46.3,40.8,35.9,1.3,-0.8,2022-07-13
92,92,Job Change,2024-12-16,-39.2,39.6,-35.6,30.5,42.0,20.2,49.2,42.8,62.0,15.0,39.0,46.0,-1.3,33.1,2025-03-12
93,93,Divorce,2024-09-29,7.7,6.8,-12.1,0.0,13.0,66.0,50.6,41.1,51.7,21.1,35.5,5.5,23.2,37.9,2024-12-13
94,94,Travel,2022-08-11,40.8,30.0,-12.9,39.6,41.0,51.5,48.8,13.9,24.0,23.4,57.3,70.2,33.1,44.6,2022-08-26
95,95,Divorce,2023-05-14,-11.3,14.7,-15.9,5.5,11.0,69.0,42.6,35.7,31.7,54.4,66.0,44.0,16.2,41.3,2023-07-02
96,96,Reconciliation,2025-12-11,15.6,22.6,21.9,9.9,32.0,61.2,10.9,30.1,31.1,40.4,88.7,73.2,13.6,21.0,2026-01-11
97,97,Promotion,2024-02-07,15.3,10.2,-5.2,0.0,18.0,45.5,48.7,23.4,24.6,0.0,80.1,43.5,16.1,15.2,2024-02-22
98,98,Financial Loss,2024-08-23,7.7,22.9,-28.3,9.6,2.0,12.0,76.7,46.9,43.2,58.1,56.9,48.4,28.1,43.8,2024-11-16
99,99,Divorce,2023-02-11,-46.9,39.6,4.8,38.0,32.0,29.8,38.3,51.6,56.7,32.3,24.8,22.0,-23.2,5.5,2023-02-13
100,100,Travel,2023-07-14,-49.4,44.0,21.1,35.8,29.0,71.3,46.3,54.0,11.8,49.1,62.0,26.5,-3.6,10.0,2023-08-15
101,101,Layoff,2024-06-06,-28.9,16.6,17.7,15.5,10.0,76.0,41.6,67.3,63.7,29.6,56.5,18.5,20.3,41.1,2024-06-07
102,102,Spiritual Awakening,2023-11-09,42.1,50.0,16.5,40.1,41.0,37.9,64.5,37.0,48.2,0.0,42.7,9.2,17.4,20.4,2023-12-02
103,103,Layoff,2025-09-01,-30.0,25.7,7.4,30.0,25.0,90.5,28.8,28.2,41.4,29.0,61.9,37.8,-8.5,-7.5,2025-09-02
104,104,Illness,2024-12-03,-7.1,6.4,-27.1,0.0,25.0,29.9,44.6,53.1,68.4,29.8,44.0,30.9,11.5,22.0,2024-12-29
105,105,Divorce,2024-02-18,-48.2,42.1,-3.6,20.8,64.0,50.4,50.5,70.1,70.7,14.0,24.5,55.9,3.5,-8.7,2024-04-21
106,106,Investment Win,2023-06-11,-1.1,12.0,-49.4,0.0,15.0,57.9,84.8,46.3,49.0,40.9,43.7,57.4,7.0,33.4,2023-07-22
107,107,Education Milestone,2024-03-24,27.2,20.9,7.9,8.2,6.0,46.3,34.4,34.1,48.4,1.6,4.9,18.5,24.1,47.5,2024-04-11
108,108,Spiritual Awakening,2025-02-05,8.1,16.3,31.2,9.7,0.0,36.0,11.7,11.0,20.2,13.0,75.4,47.3,16.6,17.7,2025-04-10
109,109,Education Milestone,2022-05-17,-39.1,27.0,31.2,29.9,34.0,48.2,48.4,42.0,44.3,29.9,42.4,64.4,25.3,25.4,2022-06-07
110,110,Promotion,2022-08-10,5.9,12.4,32.3,3.9,0.0,51.7,47.8,31.7,41.2,34.8,29.9,46.3,10.2,22.7,2022-10-13
111,111,Retirement,2022-08-29,-5.4,9.2,19.2,0.0,0.0,70.1,51.6,46.1,48.2,37.7,60.1,44.2,31.2,33.3,2022-08-31
112,112,Reconciliation,2024-02-23,-44.5,53.8,8.3,41.4,12.0,55.5,61.6,35.3,20.9,36.1,62.2,100.0,-13.2,3.1,2024-03-27
113,113,Reconciliation,2022-02-18,5.2,14.6,-11.1,0.6,3.0,37.0,55.5,26.2,31.9,4.1,36.0,18.8,15.5,-1.6,2022-03-03
114,114,Layoff,2025-12-20,-0.7,0.0,-15.2,0.0,0.0,51.7,100.0,52.0,50.5,39.4,18.7,60.3,-8.3,17.2,2026-02-20
115,115,Promotion,2025-04-19,10.5,0.0,6.5,0.0,3.0,41.0,41.4,44.1,37.5,46.0,74.7,27.8,37.8,37.7,2025-05-18
116,116,Marriage,2023-04-13,-0.5,5.4,-37.7,0.0,0.0,31.4,24.5,43.2,35.8,46.2,59.8,57.7,22.3,29.9,2023-06-17
117,117,Retirement,2024-05-19,23.3,33.2,20.7,6.7,22.0,65.0,61.7,17.5,27.0,47.9,72.4,54.4,10.1,23.2,2024-07-15
118,118,Childbirth,2025-08-01,15.2,7.3,12.1,9.4,18.0,79.6,26.9,51.5,33.4,64.4,16.8,37.7,20.7,-8.6,2025-10-03
119,119,Childbirth,2025-04-12,-0.9,0.0,25.0,23.4,21.0,11.7,50.5,34.7,42.7,73.9,79.1,23.0,26.7,36.5,2025-05-08
120,120,Layoff,2022-08-04,-9.5,17.3,-14.0,7.4,3.0,10.6,59.1,70.9,54.7,32.4,74.9,28.2,30.8,46.4,2022-09-05
121,121,Layoff,2024-03-30,-33.0,30.6,31.4,29.4,10.0,88.2,42.4,32.4,56.5,21.4,46.8,33.7,-6.9,1.7,2024-05-21
122,122,Bereavement,2024-12-24,-36.0,47.1,24.1,12.3,40.0,100.0,45.5,28.3,28.8,33.7,44.9,19.9,-7.4,3.6,2025-02-27
123,123,Education Milestone,2023-05-11,-12.6,3.0,17.0,10.9,30.0,73.4,48.5,50.7,46.4,42.8,48.0,36.2,31.7,40.4,2023-06-25
124,124,Layoff,2022-11-02,41.1,39.0,25.1,40.4,36.0,21.4,69.5,44.1,34.2,48.5,63.4,57.0,40.5,49.9,2022-11-08
125,125,Accident,2025-10-18,-17.9,23.7,-0.8,14.7,22.0,100.0,87.5,54.9,61.8,56.6,37.6,25.5,5.7,24.2,2025-11-16
126,126,Financial Loss,2023-07-01,-14.5,27.7,30.3,6.9,11.0,29.1,42.2,13.7,11.6,49.3,29.3,55.7,3.4,-2.4,2023-08-10
127,127,Retirement,2023-11-07,30.6,35.7,-21.0,13.3,20.0,15.5,45.6,46.6,30.8,0.0,60.2,18.4,50.9,62.8,2024-01-05
128,128,Reconciliation,2022-03-12,-11.1,18.1,4.7,4.9,0.0,38.5,14.9,23.8,12.0,25.4,50.5,36.3,-10.8,8.6,2022-06-05
129,129,Relocation,2024-11-01,-31.1,23.1,-47.6,28.0,23.0,39.5,43.6,37.6,58.6,26.8,52.0,36.8,-2.7,4.1,2025-01-08
130,130,Reconciliation,2023-05-07,-40.8,45.9,24.0,44.1,28.0,38.8,74.7,32.8,33.8,36.7,16.5,26.9,-23.5,1.2,2023-07-13
131,131,Recovery,2022-05-02,30.5,19.9,-12.0,39.8,12.0,67.0,46.3,54.7,65.8,42.7,74.3,58.6,48.3,48.7,2022-07-28
132,132,Reconciliation,2022-08-20,-33.3,27.7,17.8,29.2,21.0,0.0,25.9,50.7,37.2,46.1,43.4,45.4,2.4,5.8,2022-10-19
133,133,Marriage,2023-04-23,15.2,5.0,-11.2,6.8,11.0,72.0,58.8,30.8,39.5,28.9,73.4,18.2,12.8,31.8,2023-06-14
134,134,Recovery,2024-11-19,-1.4,4.8,19.8,0.0,3.0,75.7,63.7,55.7,50.8,54.3,74.4,33.2,42.0,37.3,2025-01-27
135,135,Education Milestone,2022-07-27,13.6,10.9,41.3,29.3,6.0,61.5,27.4,26.2,26.7,7.2,57.0,24.1,22.6,14.3,2022-09-21
136,136,Job Change,2025-06-29,-14.7,14.7,-8.4,8.4,10.0,41.1,31.7,19.2,26.2,27.4,48.4,30.3,1.1,23.0,2025-09-10
137,137,Divorce,2022-09-07,46.2,78.7,13.9,39.5,39.0,73.2,72.3,41.9,41.6,51.4,75.5,47.0,50.6,59.7,2022-10-13
138,138,Relocation,2024-06-13,5.5,8.5,-19.5,16.5,0.0,59.5,12.8,38.0,37.5,27.3,44.1,5.8,28.1,3.4,2024-07-05
139,139,Childbirth,2023-12-20,126.7,100.0,-5.4,83.0,101.0,29.5,48.0,36.1,54.9,55.6,69.9,39.8,82.4,66.5,2024-01-29
140,140,Education Milestone,2022-09-01,-4.7,1.5,-14.5,21.9,2.0,25.5,81.0,48.8,66.9,44.0,72.3,11.6,39.8,52.9,2022-09-08
141,141,Investment Win,2024-07-20,5.4,0.0,20.5,8.0,20.0,46.5,64.9,76.5,56.3,71.7,79.8,43.6,44.0,52.5,2024-07-29
142,142,Layoff,2024-10-14,7.5,12.4,-25.0,0.5,11.0,44.0,41.1,11.6,45.8,28.4,60.1,42.1,-6.7,-4.2,2024-12-05
143,143,Retirement,2023-12-01,-50.3,47.3,48.4,38.9,36.0,58.3,58.7,39.5,38.3,47.2,50.4,81.6,-20.8,-3.1,2023-12-27
144,144,Travel,2025-11-02,34.1,20.2,15.8,4.4,45.0,36.7,47.5,36.4,42.8,35.3,78.9,33.6,41.2,41.3,2026-01-26
145,145,Financial Loss,2023-05-21,16.9,28.2,3.8,26.1,20.0,39.1,19.4,46.1,26.6,39.7,38.5,69.4,35.4,31.3,2023-05-27
146,146,Marriage,2025-09-11,-8.7,15.2,-2.7,0.0,6.0,36.9,17.0,38.9,23.2,26.0,38.9,46.0,29.4,32.6,2025-11-02
147,147,Bereavement,2023-11-22,0.2,7.5,-27.0,0.0,0.0,30.4,33.8,42.6,47.7,33.5,46.6,60.9,38.3,19.0,2023-12-28
148,148,Promotion,2022-02-27,28.7,43.1,58.9,25.4,35.0,41.9,62.3,33.6,65.3,58.8,42.3,39.7,36.8,60.6,2022-05-10
149,149,Retirement,2022-06-07,47.6,41.2,-13.1,17.0,41.0,76.2,49.8,30.7,44.1,35.3,62.2,30.3,37.9,51.0,2022-09-04
150,150,Recovery,2024-05-07,-11.2,20.8,3.8,0.0,0.0,34.7,37.7,25.5,46.3,17.1,58.8,44.6,16.3,36.2,2024-06-21
151,151,Bereavement,2025-01-09,-10.6,0.6,10.1,15.7,0.0,66.9,37.5,24.7,24.7,41.9,43.7,59.3,6.8,26.8,2025-03-13
152,152,Marriage,2022-03-05,-5.7,0.0,58.8,0.0,0.0,67.6,58.4,84.8,53.9,61.8,28.0,32.0,34.5,21.4,2022-04-14
153,153,Reconciliation,2024-04-13,24.1,22.9,0.5,19.5,33.0,74.8,33.8,51.5,42.5,59.4,66.5,70.9,34.5,28.3,2024-04-20
154,154,Marriage,2023-06-29,-20.3,16.3,-6.4,3.4,1.0,50.4,50.4,49.4,78.5,58.5,47.4,68.7,17.7,27.0,2023-08-03
155,155,Investment Win,2023-07-27,1.9,9.6,-43.7,4.4,2.0,32.9,69.8,66.2,47.8,48.4,61.7,27.2,39.8,60.5,2023-09-02
156,156,Bereavement,2023-03-14,-9.2,0.0,2.6,0.0,11.0,40.1,51.8,12.8,20.4,49.5,74.8,30.1,-15.7,9.9,2023-06-03
157,157,Reconciliation,2025-06-21,-25.9,9.6,-46.8,26.8,30.0,31.2,56.3,43.1,95.0,53.3,61.4,23.9,17.3,26.3,2025-07-02
158,158,Divorce,2023-08-22,15.2,15.5,-11.7,11.5,18.0,34.2,27.6,8.1,10.0,29.1,58.2,32.3,1.7,20.6,2023-08-30
159,159,Financial Loss,2025-10-08,-3.2,13.1,-10.2,0.0,0.0,40.7,42.6,42.2,79.6,38.8,58.4,42.6,17.3,15.8,2025-11-03
160,160,Marriage,2025-07-07,5.7,0.0,6.1,8.5,1.0,84.8,62.1,48.2,61.0,26.5,56.7,32.2,16.6,16.6,2025-07-12
161,161,Marriage,2022-06-11,-64.8,89.8,17.7,50.6,60.0,68.2,86.1,48.9,44.0,43.7,38.0,85.9,-3.4,31.7,2022-07-31
162,162,Accident,2024-03-19,-83.6,92.7,36.9,69.4,77.0,0.0,40.4,47.5,32.1,18.3,81.4,54.9,-9.5,-0.2,2024-03-23
163,163,Divorce,2023-08-24,20.2,9.0,-12.4,21.3,24.0,48.9,65.4,74.7,71.0,96.5,62.2,67.5,27.9,17.3,2023-09-26
164,164,Promotion,2023-06-15,42.2,40.9,-15.8,20.5,55.0,64.6,64.1,40.8,43.4,36.2,34.3,27.4,53.6,56.5,2023-08-18
165,165,Promotion,2024-07-22,20.7,20.4,-18.7,19.5,29.0,34.5,26.0,21.6,31.4,29.3,38.1,22.1,13.5,18.7,2024-09-14
166,166,Illness,2024-04-26,-24.9,24.0,0.7,15.2,30.0,57.8,59.5,17.4,9.9,15.1,62.1,19.2,-1.0,15.7,2024-04-27
167,167,Illness,2022-05-18,14.4,9.4,-32.4,15.8,0.0,31.7,32.7,8.2,2.8,35.3,73.2,28.7,18.8,22.4,2022-07-23
168,168,Spiritual Awakening,2023-04-09,12.3,11.2,25.3,0.0,21.0,54.8,38.7,34.9,57.1,25.2,43.1,32.2,30.1,35.0,2023-04-18
169,169,Divorce,2023-09-29,-19.7,21.4,-0.4,30.2,21.0,93.2,62.1,65.9,71.0,41.4,72.5,59.0,2.4,6.9,2023-12-11
170,170,Layoff,2023-10-20,-12.4,0.0,-42.8,4.0,20.0,64.4,63.8,25.9,26.6,11.4,28.2,29.7,3.8,25.5,2023-12-25
