env_id,user_id,work_environment,noise_level,family_support,peer_influence,financial_pressure,job_security,work_life_balance,social_pressure,cultural_factor,digital_exposure,internet_usage,community_support,mentor_presence,competition_level,opportunity_index,stress_triggers,growth_opportunities,recorded_at
13,13,Factory,68.1,40.5,53.7,23.7,57.4,54.6,44.6,1.5,63.9,82.2,74.4,1,44.2,32.6,59.1,37.3,2025-06-30
14,14,Field,41.5,74.6,24.5,18.1,46.9,67.5,18.8,67.3,42.0,57.1,54.6,0,32.3,84.3,74.6,64.6,2025-06-30
15,15,Hybrid,36.1,51.5,78.0,37.7,21.8,44.9,24.4,92.2,51.5,56.6,37.9,0,60.2,36.6,64.6,14.9,2025-06-30
16,16,Field,39.7,69.3,58.2,28.5,84.2,92.4,52.5,54.0,43.6,22.9,71.6,0,39.4,43.4,46.0,43.9,2025-06-30
17,17,Field,48.9,45.6,37.5,41.6,51.8,52.9,63.0,37.3,30.9,87.6,65.4,1,58.1,52.7,1.1,59.5,2025-06-30
18,18,Remote,37.9,47.5,86.5,58.9,50.6,73.9,69.2,49.6,47.2,64.2,72.6,1,26.2,38.2,27.2,63.5,2025-06-30
19,19,Factory,52.7,19.6,65.7,39.6,56.1,74.6,21.5,45.5,14.3,91.0,41.3,0,58.8,46.3,20.8,34.4,2025-06-30
20,20,Field,39.8,62.0,45.8,34.5,52.4,59.8,79.7,61.2,20.5,72.8,43.1,1,52.7,100.0,57.5,80.0,2025-06-30
21,21,Outdoor,30.9,42.2,66.0,83.8,81.0,44.5,25.6,60.1,28.6,47.4,28.2,1,20.7,67.0,28.6,40.4,2025-06-30
22,22,Office,45.9,63.0,52.0,82.2,75.9,42.1,15.2,67.5,18.4,35.0,55.0,0,48.1,84.2,41.1,78.2,2025-06-30
23,23,Hybrid,57.4,32.6,73.5,21.2,81.9,48.3,27.6,79.1,43.9,77.0,73.9,0,95.4,55.1,63.7,47.5,2025-06-30
24,24,Office,24.0,49.9,76.9,35.6,57.1,37.3,16.2,47.3,47.1,59.3,61.5,1,63.3,75.6,15.0,74.3,2025-06-30
25,25,Outdoor,51.9,34.0,63.6,60.7,80.3,28.6,19.4,78.6,46.4,33.2,46.1,1,42.8,78.6,46.0,78.8,2025-06-30
26,26,Office,37.9,87.2,54.8,52.7,71.9,70.7,36.5,42.7,30.2,43.9,56.1,0,12.9,63.6,59.5,96.9,2025-06-30
27,27,Hybrid,46.2,66.6,37.0,27.8,77.0,71.8,63.7,31.7,19.1,51.9,68.5,0,46.7,72.7,41.5,61.0,2025-06-30
28,28,Remote,52.3,43.4,59.9,42.1,92.0,56.7,21.7,53.2,45.2,94.6,40.4,0,57.2,20.3,35.0,48.3,2025-06-30
29,29,Home,61.7,40.5,40.6,24.5,61.2,70.9,46.8,44.7,35.2,60.1,37.4,0,54.7,72.2,33.0,68.2,2025-06-30
30,30,Outdoor,18.1,37.3,39.9,33.8,89.5,73.0,35.5,43.0,24.4,68.2,50.4,0,61.9,62.8,91.3,32.2,2025-06-30
31,31,Factory,34.4,54.8,23.7,42.0,61.2,63.1,92.0,47.4,28.3,61.7,74.1,1,47.5,51.4,38.6,57.2,2025-06-30
32,32,Home,51.6,100.0,46.0,0.0,35.1,69.5,57.9,58.8,34.4,48.1,55.5,1,28.3,68.1,10.9,88.5,2025-06-30
33,33,Remote,55.3,39.1,70.2,31.5,31.1,56.3,26.2,100.0,32.5,57.1,57.9,1,47.4,30.1,51.8,70.5,2025-06-30
34,34,Home,50.2,68.4,40.4,62.7,35.3,90.2,74.0,46.4,56.4,66.2,62.4,0,62.4,49.9,28.0,35.7,2025-06-30
35,35,Remote,62.2,53.3,60.6,31.4,61.7,44.8,35.6,40.6,37.2,56.4,41.1,0,36.0,81.6,37.9,76.6,2025-06-30
36,36,Factory,84.2,73.5,76.7,44.8,75.8,63.7,63.2,16.1,31.9,84.5,44.7,0,45.9,74.6,42.4,34.5,2025-06-30
37,37,Hybrid,52.9,77.4,66.3,70.6,64.8,50.2,68.6,58.0,59.1,49.7,69.5,1,70.8,74.8,78.4,62.4,2025-06-30
38,38,Factory,65.2,64.2,54.7,48.5,72.5,30.5,45.5,38.1,10.7,73.7,17.1,0,76.6,12.5,45.7,50.3,2025-06-30
39,39,Remote,49.1,25.8,39.2,19.1,57.7,41.9,95.1,65.6,28.7,0.0,12.7,0,51.5,28.2,40.3,51.0,2025-06-30
40,40,Hybrid,48.4,50.1,33.5,36.6,68.6,62.0,61.5,7.4,21.6,60.3,31.5,0,100.0,82.9,54.1,58.9,2025-06-30
41,41,Home,44.4,55.2,77.0,0.0,36.8,56.1,55.5,40.8,37.9,61.2,56.0,0,46.0,100.0,44.8,83.5,2025-06-30
42,42,Office,32.3,65.6,35.9,30.6,64.5,50.6,92.8,48.5,38.8,59.0,58.9,0,38.3,66.7,39.6,67.6,2025-06-30
43,43,Factory,48.1,36.9,58.3,42.9,42.1,54.1,74.9,10.5,46.2,77.8,67.0,1,79.0,20.6,40.5,38.3,2025-06-30
44,44,Office,44.6,100.0,36.3,82.0,77.2,35.6,54.4,57.5,41.0,100.0,19.8,0,52.8,83.2,62.3,41.5,2025-06-30
45,45,Field,61.7,78.3,25.7,49.1,73.6,30.2,36.8,69.3,34.5,97.6,67.9,1,66.4,52.2,58.9,43.6,2025-06-30
46,46,Factory,44.5,56.4,37.8,31.2,25.5,56.3,58.4,43.9,17.0,44.2,100.0,0,67.4,28.6,54.3,44.7,2025-06-30
47,47,Outdoor,62.6,52.6,54.4,36.4,40.7,65.9,24.4,60.9,61.2,43.0,63.3,1,58.6,42.0,91.0,50.2,2025-06-30
48,48,Outdoor,52.6,96.5,56.3,6.2,16.9,57.0,54.4,25.5,15.7,83.0,37.8,1,52.2,70.1,39.8,57.5,2025-06-30
49,49,Hybrid,53.5,41.0,39.4,46.6,52.5,75.1,76.9,39.3,57.7,77.3,52.3,0,25.3,51.4,44.9,51.4,2025-06-30
50,50,Home,44.4,64.6,59.0,0.0,47.3,39.4,84.8,46.3,48.4,53.2,82.4,0,100.0,76.7,27.0,63.4,2025-06-30
51,51,Home,33.9,79.3,43.1,2.4,58.9,76.2,76.8,31.9,40.7,64.3,100.0,1,88.6,43.7,66.7,33.6,2025-06-30
52,52,Remote,32.3,31.5,67.9,13.7,94.0,59.1,18.3,91.3,23.4,66.7,45.5,1,15.7,67.3,45.7,49.5,2025-06-30
53,53,Field,47.3,32.4,52.6,41.6,59.1,77.1,36.3,30.5,14.8,46.9,68.5,0,53.4,67.1,67.5,65.6,2025-06-30
54,54,Home,33.4,39.3,73.8,26.9,85.5,72.3,62.7,60.1,40.8,59.5,87.2,0,66.0,17.1,80.6,32.7,2025-06-30
55,55,Field,15.6,23.2,51.6,30.6,100.0,83.2,74.2,31.6,37.2,53.7,62.2,0,72.8,39.1,24.3,34.5,2025-06-30
56,56,Office,56.6,78.9,61.6,49.5,87.3,63.1,60.5,85.0,35.4,78.1,26.6,0,71.3,72.7,52.4,62.0,2025-06-30
57,57,Outdoor,53.0,56.2,95.7,48.1,37.1,47.2,52.0,32.4,38.8,37.9,30.9,0,52.7,43.1,33.6,53.3,2025-06-30
58,58,Outdoor,34.7,39.0,64.5,15.0,82.4,87.3,13.2,20.1,3.8,51.7,43.3,0,48.1,60.5,57.1,58.8,2025-06-30
59,59,Home,23.7,52.3,63.2,56.2,58.9,49.8,33.6,32.4,70.5,68.4,62.4,0,47.2,62.7,55.5,36.9,2025-06-30
60,60,Hybrid,74.6,55.6,41.6,0.0,71.4,62.7,31.2,22.4,43.9,57.0,26.8,0,57.2,86.5,51.5,63.2,2025-06-30
61,61,Office,49.5,100.0,63.3,45.7,88.0,44.8,67.9,46.0,50.7,70.0,67.8,0,55.8,63.0,34.6,62.4,2025-06-30
62,62,Hybrid,45.7,66.7,71.6,80.4,56.8,36.5,38.8,58.7,48.8,81.1,57.5,0,52.4,35.7,70.9,41.4,2025-06-30
63,63,Hybrid,37.2,57.1,48.9,97.1,67.8,78.6,36.1,42.3,66.4,52.0,41.8,0,41.1,51.0,42.9,34.2,2025-06-30
64,64,Home,53.0,67.1,54.0,24.6,52.4,40.2,36.2,59.7,9.3,42.9,21.5,0,66.6,45.6,43.0,63.9,2025-06-30
65,65,Field,44.0,25.3,26.6,17.6,55.0,76.8,50.1,39.3,18.8,42.0,31.9,1,59.6,40.4,52.5,47.1,2025-06-30
66,66,Office,79.6,64.3,16.3,32.4,59.1,90.4,47.0,44.9,14.8,95.7,90.0,0,100.0,54.5,60.6,40.4,2025-06-30
67,67,Office,44.6,37.0,65.7,27.3,48.7,62.0,24.8,51.9,16.9,24.7,46.9,1,73.3,52.9,55.1,42.6,2025-06-30
68,68,Hybrid,80.8,93.5,7.2,35.7,56.0,60.2,1.4,78.7,51.8,86.5,16.5,0,32.2,61.4,53.7,47.9,2025-06-30
69,69,Outdoor,30.7,47.2,35.2,52.0,42.4,59.5,23.4,65.7,49.7,55.4,33.8,1,60.1,78.0,81.5,57.7,2025-06-30
70,70,Home,62.5,70.0,26.6,28.0,38.0,83.0,39.1,60.9,30.6,37.7,47.1,1,41.2,89.2,32.8,84.9,2025-06-30
71,71,Factory,11.7,61.4,37.1,39.8,57.1,87.9,59.7,71.9,1.2,47.3,35.0,1,54.1,56.1,60.5,44.3,2025-06-30
72,72,Factory,8.0,69.7,35.4,77.7,62.6,67.4,48.2,65.3,35.3,75.4,93.4,0,36.9,2.5,73.7,0.0,2025-06-30
73,73,Office,71.3,26.6,63.3,18.9,73.9,31.7,41.2,57.4,18.7,47.6,60.8,0,40.9,44.3,33.8,37.0,2025-06-30
74,74,Office,59.7,55.5,100.0,28.6,54.2,78.7,64.5,26.5,42.6,34.5,51.4,0,34.0,35.1,36.0,59.1,2025-06-30
75,75,Remote,67.7,98.0,36.1,31.5,48.5,29.0,46.7,31.8,30.5,61.8,74.0,0,4.5,51.3,45.7,40.9,2025-06-30
76,76,Factory,29.4,80.3,55.7,19.0,50.9,73.5,83.3,53.1,38.9,47.1,32.9,1,7.8,21.2,67.5,38.1,2025-06-30
77,77,Office,31.0,41.7,34.1,26.4,74.6,54.1,48.9,41.3,31.7,100.0,91.4,0,38.6,58.3,20.0,63.3,2025-06-30
78,78,Remote,61.4,39.6,36.4,44.8,64.8,62.2,57.0,61.7,62.3,93.6,39.0,0,39.6,100.0,33.3,88.9,2025-06-30
79,79,Hybrid,28.7,70.7,40.8,30.2,38.0,56.0,53.5,64.1,52.7,76.3,60.9,1,70.9,78.1,37.7,87.7,2025-06-30
80,80,Field,62.5,36.2,30.9,44.9,56.0,54.4,51.8,25.1,41.1,55.3,20.3,0,44.4,54.0,52.2,46.9,2025-06-30
81,81,Home,59.4,35.1,54.9,30.8,55.5,48.5,76.6,79.5,51.0,74.7,76.7,0,49.8,64.1,24.7,54.3,2025-06-30
82,82,Office,46.0,39.7,34.3,8.0,93.0,77.7,82.3,47.6,40.1,67.5,22.7,0,54.0,31.4,86.1,41.9,2025-06-30
83,83,Remote,0.0,65.9,93.2,55.3,17.1,70.1,47.1,41.7,24.9,46.2,68.8,1,2.2,68.3,58.4,78.3,2025-06-30
84,84,Factory,32.1,30.6,23.0,33.8,93.5,54.7,60.9,69.6,21.7,67.8,68.9,0,18.4,40.9,55.3,49.7,2025-06-30
85,85,Office,47.8,58.6,67.9,42.1,57.0,46.7,8.3,61.0,49.3,46.6,64.2,1,27.0,54.0,43.2,47.8,2025-06-30
86,86,Outdoor,53.0,48.2,28.1,31.3,73.3,61.5,18.4,74.9,42.6,52.7,41.2,0,60.2,71.2,67.7,68.0,2025-06-30
87,87,Factory,51.4,53.1,42.4,35.6,79.3,21.1,55.8,62.1,56.3,55.5,44.7,0,88.3,41.8,58.1,49.6,2025-06-30
88,88,Office,52.1,19.2,70.1,41.3,68.3,54.2,29.7,51.6,41.3,54.3,45.4,1,20.8,47.7,51.5,53.1,2025-06-30
89,89,Outdoor,24.4,43.5,56.8,74.4,61.0,61.0,70.4,66.6,27.4,63.1,54.3,0,26.3,43.5,55.9,49.9,2025-06-30
90,90,Office,80.2,72.6,19.5,46.7,76.4,55.3,52.2,69.7,32.3,100.0,46.4,1,42.5,54.4,61.0,71.8,2025-06-30
91,91,Hybrid,69.1,52.8,45.2,38.3,100.0,81.4,22.5,69.9,10.3,44.0,36.2,0,36.3,37.1,50.1,42.1,2025-06-30
92,92,Outdoor,33.3,42.9,36.2,27.6,48.4,71.7,53.9,46.1,33.4,34.3,63.3,1,47.0,21.4,23.0,28.7,2025-06-30
93,93,Hybrid,31.0,82.5,38.8,60.8,68.9,90.2,35.5,43.0,15.9,73.0,63.3,0,37.2,40.4,45.6,36.4,2025-06-30
94,94,Hybrid,59.6,50.1,85.5,59.2,57.2,56.8,45.3,22.4,16.2,98.9,38.4,1,32.4,42.4,41.7,37.2,2025-06-30
95,95,Remote,64.5,70.6,41.1,78.5,98.1,70.0,27.3,48.2,45.4,81.3,43.0,1,48.8,39.0,86.5,45.2,2025-06-30
96,96,Factory,42.0,77.4,76.4,59.8,72.6,29.6,24.4,40.4,41.9,34.7,35.7,1,61.2,29.8,49.3,20.9,2025-06-30
97,97,Office,61.5,30.7,11.3,61.3,66.6,45.1,37.4,63.0,31.7,59.3,4.6,0,5.0,58.4,68.2,58.0,2025-06-30
98,98,Factory,53.6,61.0,85.0,49.1,81.5,77.7,32.3,39.5,52.3,49.8,80.6,1,32.4,43.5,38.8,30.5,2025-06-30
99,99,Factory,36.7,37.6,17.6,23.3,47.0,20.1,81.6,54.5,49.7,79.5,71.4,1,25.6,100.0,24.7,77.1,2025-06-30
100,100,Factory,18.2,45.6,70.8,55.1,43.0,72.5,33.0,55.5,60.5,24.5,71.6,0,76.5,67.8,23.6,59.6,2025-06-30
101,101,Outdoor,83.6,54.9,65.6,35.4,80.7,68.0,28.9,43.9,46.1,48.2,65.5,0,50.7,100.0,54.8,80.0,2025-06-30
102,102,Factory,47.8,43.0,44.5,19.9,35.1,56.5,37.3,28.2,39.8,59.7,49.4,0,87.9,71.2,15.2,58.7,2025-06-30
103,103,Outdoor,27.3,54.4,65.9,86.2,100.0,43.5,39.4,47.8,49.6,25.8,69.5,0,48.2,55.7,39.1,56.2,2025-06-30
104,104,Field,40.8,37.2,12.3,60.0,40.4,66.6,52.2,55.8,10.5,54.2,43.6,1,22.8,68.8,45.3,68.0,2025-06-30
105,105,Home,13.1,62.1,60.9,43.6,73.3,66.0,20.0,44.9,23.7,37.4,61.9,1,13.3,47.8,52.5,74.3,2025-06-30
106,106,Factory,9.7,58.2,49.8,58.9,79.6,57.1,79.0,40.5,37.7,73.1,81.4,1,24.6,64.8,43.0,65.5,2025-06-30
107,107,Remote,38.8,98.3,46.9,27.0,22.0,62.9,34.0,76.6,28.9,89.9,66.7,1,45.3,52.6,45.1,56.4,2025-06-30
108,108,Outdoor,51.4,63.3,66.9,54.0,46.2,69.4,58.2,35.2,53.5,60.9,55.7,1,68.9,41.7,40.6,38.8,2025-06-30
109,109,Outdoor,41.0,47.3,44.7,9.3,45.0,38.3,63.0,87.2,51.8,13.0,83.4,0,65.8,58.2,52.8,92.0,2025-06-30
110,110,Hybrid,48.2,48.0,17.9,0.0,50.5,54.3,67.9,60.4,64.6,49.1,13.1,0,18.3,91.5,55.9,77.8,2025-06-30
111,111,Hybrid,48.5,45.3,60.2,25.3,52.0,60.1,47.8,19.1,39.8,67.2,63.1,0,30.4,55.2,0.0,74.2,2025-06-30
112,112,Outdoor,22.5,77.4,59.9,37.3,47.3,59.3,66.6,40.8,96.5,50.4,78.0,0,53.1,39.0,17.1,44.5,2025-06-30
113,113,Office,63.5,43.4,45.3,62.3,46.2,52.6,43.0,45.4,24.5,88.3,42.8,0,61.2,38.6,59.1,45.7,2025-06-30
114,114,Field,48.4,15.1,37.0,53.3,48.7,52.9,78.5,15.5,38.8,42.8,49.9,0,25.3,75.5,58.8,69.7,2025-06-30
115,115,Field,62.8,57.9,35.9,21.6,86.0,39.6,25.7,0.0,31.9,64.9,29.3,0,61.5,61.9,66.7,75.1,2025-06-30
116,116,Outdoor,60.3,38.0,58.5,42.5,65.6,69.6,100.0,53.0,20.2,30.2,54.6,0,0.0,73.6,71.2,37.1,2025-06-30
117,117,Home,43.6,50.9,45.1,48.5,40.1,43.3,53.0,53.5,49.3,58.4,55.3,1,71.2,59.3,37.9,53.2,2025-06-30
118,118,Field,49.8,41.4,43.5,56.4,51.2,55.2,46.2,51.8,50.7,76.5,43.3,0,81.2,20.2,72.6,38.8,2025-06-30
119,119,Factory,48.6,44.9,56.5,21.0,42.3,44.4,40.8,41.1,35.6,95.7,17.5,0,29.4,40.7,68.9,58.5,2025-06-30
120,120,Office,68.9,66.8,62.2,55.5,87.0,65.5,31.2,72.6,56.2,35.9,22.7,1,68.6,81.5,56.9,68.6,2025-06-30
121,121,Remote,47.1,39.0,50.4,14.7,100.0,51.3,64.7,68.3,47.5,80.2,72.3,0,14.3,41.1,32.8,40.4,2025-06-30
122,122,Factory,86.7,41.6,61.6,21.8,49.5,34.6,57.5,62.8,26.3,68.3,73.3,0,42.2,33.5,91.4,52.2,2025-06-30
123,123,Outdoor,53.1,25.5,55.1,56.5,54.8,82.9,70.1,52.2,59.1,90.5,4.4,0,42.9,60.0,47.9,69.0,2025-06-30
124,124,Outdoor,49.3,5.8,21.4,67.1,57.7,45.8,47.8,31.3,44.5,68.9,55.1,0,43.4,62.9,39.8,54.7,2025-06-30
125,125,Remote,50.6,68.9,52.2,57.8,50.3,38.8,63.3,50.8,51.8,78.1,25.9,0,31.9,92.0,64.8,59.2,2025-06-30
126,126,Field,47.0,69.9,50.9,0.0,37.2,63.1,39.7,54.9,5.6,72.5,81.6,0,54.9,52.0,30.5,36.6,2025-06-30
127,127,Home,43.1,77.2,33.0,52.4,65.3,46.9,44.0,26.0,74.9,50.6,36.4,0,38.9,46.7,62.8,62.5,2025-06-30
128,128,Field,100.0,100.0,43.1,30.9,50.7,53.1,52.4,0.0,26.7,69.2,47.3,0,94.8,100.0,59.1,100.0,2025-06-30
129,129,Field,63.6,74.8,76.9,59.9,59.6,54.2,70.6,50.6,38.8,81.4,34.9,0,85.4,38.5,43.3,37.2,2025-06-30
130,130,Home,75.8,54.9,50.9,9.4,41.7,50.4,24.5,80.2,45.0,39.4,29.8,0,41.1,52.3,19.9,71.5,2025-06-30
131,131,Office,81.7,0.0,16.3,57.6,55.7,42.3,67.5,68.3,44.7,44.8,66.8,1,58.3,65.0,49.1,67.8,2025-06-30
132,132,Field,51.5,62.3,24.2,58.3,98.4,60.5,64.4,86.4,49.5,64.3,74.7,1,71.6,32.4,26.0,41.4,2025-06-30
133,133,Field,69.5,35.0,54.9,24.8,54.1,45.8,67.3,73.2,25.6,64.6,30.9,0,88.2,39.2,6.3,60.0,2025-06-30
134,134,Hybrid,28.4,68.6,58.5,49.9,73.9,65.4,49.1,100.0,48.4,73.6,54.3,1,24.8,60.4,28.9,68.3,2025-06-30
135,135,Office,51.3,76.0,63.1,50.1,75.9,47.9,74.0,57.0,60.5,51.0,52.7,0,47.5,31.2,46.9,41.1,2025-06-30
136,136,Home,54.4,79.5,58.7,55.1,27.9,42.5,41.8,38.3,70.1,73.8,55.8,0,23.1,35.3,43.8,52.2,2025-06-30
137,137,Factory,72.2,97.6,33.8,32.2,27.5,65.2,22.1,49.5,61.4,38.7,28.0,1,62.2,32.4,60.6,43.9,2025-06-30
138,138,Office,66.2,63.4,23.5,52.0,62.7,34.5,55.9,55.4,24.6,13.7,66.1,0,25.5,61.8,62.8,72.9,2025-06-30
139,139,Outdoor,62.3,49.5,86.1,69.7,68.1,66.8,30.5,60.4,38.7,56.4,63.9,0,90.6,35.2,91.3,42.6,2025-06-30
140,140,Factory,30.1,81.3,50.6,75.5,80.8,73.8,42.7,45.1,48.8,42.0,31.4,0,53.2,91.4,45.5,72.6,2025-06-30
141,141,Field,49.4,54.5,65.8,42.7,53.7,58.4,62.3,50.1,40.5,9.8,45.6,0,47.8,78.1,25.3,82.8,2025-06-30
142,142,Remote,51.1,53.3,43.5,22.6,62.6,84.2,62.4,64.3,57.7,67.1,27.8,0,43.0,90.8,40.7,75.1,2025-06-30
143,143,Home,20.4,46.4,60.6,52.1,71.1,92.5,44.6,51.0,24.9,61.1,50.9,0,18.7,36.1,58.4,30.9,2025-06-30
144,144,Factory,45.2,33.9,70.2,43.3,43.4,29.4,50.1,23.2,37.5,48.8,44.5,0,32.1,71.2,66.4,50.6,2025-06-30
145,145,Office,40.7,100.0,12.5,19.0,93.5,60.8,74.7,19.3,63.2,18.0,69.1,1,76.0,95.4,69.9,82.4,2025-06-30
146,146,Factory,37.8,70.4,1.3,38.4,86.3,93.3,13.8,49.7,28.7,68.0,73.0,0,42.6,84.2,50.6,85.8,2025-06-30
147,147,Outdoor,39.2,61.0,41.3,44.1,78.3,84.2,34.4,55.3,20.3,58.7,44.7,0,47.9,53.5,55.4,62.8,2025-06-30
148,148,Factory,51.9,84.0,53.9,60.9,71.0,58.7,21.8,62.1,11.0,81.3,38.0,1,34.8,75.0,42.4,51.8,2025-06-30
149,149,Hybrid,47.4,60.7,41.9,44.9,61.0,63.8,0.0,72.2,40.8,100.0,31.4,0,84.4,97.0,34.3,83.8,2025-06-30
150,150,Outdoor,39.3,64.2,52.2,0.0,31.7,64.8,22.6,31.5,22.2,40.9,65.9,0,69.5,55.2,59.5,54.5,2025-06-30
151,151,Home,33.1,15.7,65.2,7.8,95.3,96.7,32.0,34.0,43.0,54.9,38.4,0,54.2,63.3,41.3,39.9,2025-06-30
152,152,Field,73.6,46.3,47.3,5.1,56.7,43.5,33.8,59.6,41.7,65.9,43.6,0,51.8,46.6,50.0,50.5,2025-06-30
153,153,Outdoor,49.6,85.5,27.8,20.3,45.6,22.0,37.7,82.0,17.0,64.4,43.4,0,76.8,62.3,30.2,63.3,2025-06-30
154,154,Remote,28.8,64.8,37.6,12.6,53.5,54.0,27.6,5.7,39.5,69.8,55.6,0,27.3,54.1,72.5,70.5,2025-06-30
155,155,Field,12.3,79.3,49.7,35.2,54.0,84.0,68.2,59.8,17.7,56.9,79.3,1,23.5,30.4,39.2,15.9,2025-06-30
156,156,Factory,30.8,88.4,58.6,30.4,29.3,53.3,0.0,62.2,63.6,47.3,51.7,0,39.4,34.6,29.9,46.7,2025-06-30
157,157,Remote,35.9,98.3,50.6,36.9,30.5,49.6,75.8,26.8,20.1,34.9,100.0,1,68.1,30.8,52.1,48.5,2025-06-30
158,158,Home,65.4,25.6,39.0,50.3,57.5,70.0,79.8,33.5,23.6,77.3,100.0,0,29.6,36.9,76.9,54.7,2025-06-30
159,159,Office,26.8,73.7,59.1,21.8,79.3,51.9,17.4,71.1,34.9,43.6,50.2,0,61.9,43.4,33.3,60.9,2025-06-30
160,160,Factory,60.4,88.1,22.5,46.2,53.7,56.3,86.6,36.3,60.8,76.5,50.6,1,55.2,67.8,81.7,55.8,2025-06-30
161,161,Field,51.8,56.2,85.0,54.8,41.5,52.7,33.9,39.5,46.1,87.3,56.7,0,21.7,72.2,34.0,67.6,2025-06-30
162,162,Remote,26.9,47.9,28.9,3.7,77.6,41.5,30.3,59.4,15.0,64.9,64.5,0,67.9,83.0,63.4,61.5,2025-06-30
163,163,Remote,55.1,55.3,61.6,33.7,73.2,72.6,60.9,50.0,32.0,78.0,42.3,1,46.8,90.2,69.3,76.7,2025-06-30
164,164,Home,51.8,40.8,61.2,39.7,92.0,78.0,39.6,14.3,48.1,42.0,36.1,0,47.6,67.4,54.1,62.2,2025-06-30
165,165,Hybrid,13.9,31.8,13.4,58.9,50.9,53.2,64.1,63.3,36.1,61.7,48.5,0,51.3,38.4,61.3,25.8,2025-06-30
166,166,Factory,29.4,66.4,56.4,40.6,36.5,39.6,67.1,57.9,43.8,75.7,15.9,1,52.7,75.2,25.9,53.7,2025-06-30
167,167,Home,28.3,67.9,10.4,24.0,48.6,50.9,100.0,76.3,28.3,50.0,50.8,0,29.5,23.8,46.8,31.0,2025-06-30
168,168,Outdoor,61.9,60.9,61.2,3.5,56.2,70.1,48.3,56.4,49.7,37.8,2.0,0,49.4,15.7,78.3,46.0,2025-06-30
169,169,Office,46.5,27.0,74.2,51.0,63.7,32.7,10.1,59.4,32.9,35.3,57.3,0,14.7,76.5,75.0,55.4,2025-06-30
170,170,Remote,14.9,49.7,24.6,43.7,81.3,69.2,71.7,80.5,49.0,66.2,34.2,1,56.3,23.7,25.4,4.5,2025-06-30
171,171,Factory,65.4,83.1,56.4,45.0,28.9,66.6,49.5,37.6,35.1,66.3,62.6,1,34.5,85.3,56.4,60.1,2025-06-30
172,172,Field,83.4,12.7,64.5,22.6,71.3,54.8,56.9,24.3,36.4,64.7,41.6,0,68.5,38.5,34.8,64.9,2025-06-30
173,173,Office,73.6,75.7,12.8,16.1,62.0,61.4,42.7,59.7,47.9,47.3,41.1,0,36.6,78.6,55.9,49.4,2025-06-30
174,174,Factory,53.0,82.8,16.9,40.2,55.9,63.7,2.0,78.6,59.6,55.9,52.4,0,73.1,52.5,62.2,53.5,2025-06-30
175,175,Hybrid,16.2,67.0,28.9,33.8,62.5,58.7,48.8,22.4,39.4,100.0,63.3,0,10.3,81.2,53.3,58.3,2025-06-30
176,176,Factory,26.2,26.9,64.3,30.3,41.8,26.2,27.8,83.9,22.5,45.2,44.9,0,42.8,54.4,49.3,63.4,2025-06-30
177,177,Outdoor,0.0,62.9,22.3,21.0,43.3,81.3,45.2,38.5,49.1,48.7,50.5,1,56.7,24.1,41.5,23.3,2025-06-30
178,178,Home,39.3,38.6,20.5,23.5,32.7,61.3,52.3,70.2,1.8,55.9,13.7,1,75.8,33.1,44.5,39.1,2025-06-30
